Name,logFC,logCPM,F,PValue,FDR
SAA2,2.414265305,5.43249966,512.0910706,1.41E-12,1.88E-08
CCL20,3.133684158,4.949061424,447.918174,3.56E-12,2.38E-08
IL36G,2.722309741,4.359048236,340.4549292,2.36E-11,1.05E-07
INHBA,1.810555911,6.511435408,272.793242,1.07E-10,3.58E-07
TNFAIP3,1.601914343,7.418584561,263.4266406,1.36E-10,3.63E-07
S100A8,1.860564192,6.997842304,255.5302813,1.67E-10,3.72E-07
SAA1,2.212279583,7.951855249,243.009668,2.35E-10,4.04E-07
SPRR2D,2.974208495,4.79537195,241.8738442,2.42E-10,4.04E-07
CFB,1.845098121,5.882071764,231.9140134,3.22E-10,4.77E-07
KRT6B,1.540267466,7.712965693,227.6370709,3.65E-10,4.87E-07
CXCL1,1.408115618,7.07479321,218.1958383,4.85E-10,5.89E-07
TNIP1,1.254947449,8.445172317,212.9006495,5.72E-10,6.18E-07
C3,1.498984852,8.887680417,211.3175828,6.01E-10,6.18E-07
ICAM1,1.852869403,7.138195866,204.7045541,7.44E-10,7.10E-07
SOD2,1.509521468,7.224800192,187.7518545,1.33E-09,1.18E-06
C15orf48,1.22648154,6.071835871,181.563187,1.66E-09,1.38E-06
IRF9,1.241106207,5.667440931,171.4811418,2.42E-09,1.75E-06
CXCL5,3.464983212,3.033112287,170.7560735,2.49E-09,1.75E-06
ZC3H12A,1.665200737,6.025818398,170.5250841,2.51E-09,1.75E-06
LIF,1.298286662,6.185570424,169.4239504,2.62E-09,1.75E-06
HBEGF,1.282731888,6.212807202,167.6510895,2.81E-09,1.79E-06
S100A9,1.098694137,9.846664927,165.7252407,3.03E-09,1.84E-06
IFI27,2.925637068,4.610150648,158.7883882,4.02E-09,2.27E-06
RHCG,1.339884074,6.357655224,158.3726778,4.09E-09,2.27E-06
SLC6A14,1.210075867,6.958887568,153.799966,4.96E-09,2.65E-06
MX1,2.515110491,5.014471689,151.5335589,5.46E-09,2.80E-06
PGLYRP4,2.025949322,3.003540209,146.9856768,6.67E-09,3.30E-06
IL6,2.922452942,3.118204582,145.7668832,7.04E-09,3.36E-06
