X	Ebut_1.2EC10_24h_run1	Ebut_1.2EC10_24h_run2	Ebut_1.2EC10_24h_run3	Ebut_1.2EC10_24h_run4	Ebut_1.2EC10_24h_run5	DMSO_24h_run1	DMSO_24h_run2	DMSO_24h_run3	DMSO_24h_run4	DMSO_24h_run5	NK_24h_run1	NK_24h_run2	NK_24h_run3	NK_24h_run4	NK_24h_run5
cpt1b_84232	2	2	1	1	7	0	0	0	2	0	3	1	6	0	3
clca1_84233	0	0	2	0	1	0	0	0	0	0	1	1	0	0	0
col4a6_84234	6	2	5	4	4	31	10	11	6	0	13	8	18	8	5
col6a2_84235	18	24	33	25	43	13	19	28	44	0	15	21	22	31	44
rwdd_84236	41	26	28	34	22	23	36	32	14	0	18	49	43	22	18
si:ch211-219a15.4_84237	1	2	1	0	1	2	0	2	6	0	1	0	3	2	0
gc_84238	2	7	1	1	2	0	2	4	5	0	0	3	1	0	2
si:ch211-153b23.4_84239	4	2	3	1	3	5	4	0	4	0	0	4	1	0	9
col11a1b_84240	337	341	428	513	448	438	429	510	433	0	413	388	515	461	375
col6a3_84241	144	147	150	136	208	163	133	179	139	0	130	152	145	128	150
nr2f2_84242	3	8	1	1	5	13	5	7	0	0	6	1	6	8	5
mpv17l2_84243	1	1	0	0	1	1	1	2	2	0	2	0	1	4	2
crot_84244	15	15	12	14	18	17	25	18	7	0	17	16	18	11	10
eepd1_84245	62	94	46	28	39	173	43	94	49	0	66	28	52	75	38
ctsd_84246	18	41	35	28	16	51	8	41	11	0	32	30	49	36	11
anpepb_84247	11	14	19	10	12	14	17	47	12	0	32	23	20	23	21
cspg4_84248	4	4	0	2	7	0	3	0	1	0	7	3	6	3	4
si:dkey-183i3.5_84249	15	18	5	7	8	21	28	63	17	3	23	16	14	20	15
got1_84250	155	128	186	171	207	184	157	157	203	1	179	170	190	162	188
zc3h12a_84251	4	2	6	10	5	11	8	5	7	0	1	5	5	6	2
si:ch211-147m6.1_84252	3	3	1	1	3	1	0	0	5	0	0	0	1	4	4
gstk1_84253	19	42	31	24	11	24	15	24	19	0	24	34	34	35	23
kita_84254	17	22	19	8	21	7	18	7	18	0	10	25	12	13	13
cd9b_84255	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0
dnmt3ab_84256	163	166	177	134	132	219	145	210	102	1	217	164	179	92	110
nox1_84257	22	20	29	13	24	12	37	60	42	0	27	24	18	31	26
neflb_84258	8	3	3	6	7	0	9	6	3	0	2	1	3	4	4
thbd_84259	0	3	4	1	0	4	0	0	0	0	1	0	0	2	2
si:ch211-207i20.2_84260	5	13	2	6	2	6	8	9	8	0	15	3	8	4	0
hadhb_84261	17	12	22	21	25	35	10	24	23	0	34	18	23	8	11
tgfbi_84262	63	51	53	46	49	46	48	25	38	0	46	49	50	55	48
zgc:136930_84263	0	2	1	0	2	0	0	0	3	0	2	1	0	2	0
matn1_84264	15	6	2	3	7	27	6	5	14	1	14	6	10	9	7
tmem176l.2_84265	2	0	0	0	2	0	0	3	1	0	0	2	0	4	5
mia_84266	3	7	3	7	4	0	3	15	3	0	4	1	3	12	3
klf11a_84267	27	52	35	34	44	16	43	32	37	0	25	38	34	26	41
slco3a1_84268	6	6	2	3	4	10	2	3	10	0	7	4	6	3	4
cyp2y3_84269	502	488	659	424	736	449	567	567	539	0	463	564	519	660	1024
btr06_84270	0	6	0	2	8	0	0	0	1	0	1	1	3	1	4
ttr_84271	0	5	1	1	2	11	0	0	0	0	2	3	4	1	1
klf11b_84272	12	9	14	7	16	11	5	9	6	0	13	10	25	6	8
si:ch211-207n23.2_84273	2	2	1	2	0	0	1	0	5	0	3	2	2	2	1
col2a1b_84274	116	147	212	134	106	255	171	206	108	0	241	169	261	139	111
tspan7_84275	1385	1402	1398	1888	2383	1140	1642	1186	2442	1	1006	1438	1338	2364	2432
clca1_84276	5	2	0	4	5	1	1	2	1	0	1	1	3	1	8
col10a1a_84277	0	3	0	1	2	0	1	5	0	0	1	0	2	1	7
krtt1c19e_84278	116	301	297	249	210	137	119	357	253	2	105	175	217	301	216
