X	Mhex_EC10_48h_run1	Mhex_EC10_48h_run2	Mhex_EC10_48h_run3	Mhex_EC10_48h_run4_B09	Mhex_EC10_48h_run5	DMSO_48h_run1	DMSO_48h_run2	DMSO_48h_run3	DMSO_48h_run4	DMSO_48h_run5	NK_48h_run1	NK_48h_run2	NK_48h_run3	NK_48h_run4	NK_48h_run5
cpt1b_84232	27	21	17	17	25	23	16	15	34	0	33	17	16	29	23
clca1_84233	0	1	3	0	0	0	0	0	0	0	0	0	0	1	0
col4a6_84234	11	9	18	12	6	15	8	6	11	0	14	9	12	16	5
col6a2_84235	201	147	183	363	326	135	234	170	261	0	145	235	167	258	294
rwdd_84236	20	34	31	35	11	31	32	38	9	0	10	30	32	36	9
si:ch211-219a15.4_84237	0	2	5	2	4	0	0	0	3	0	2	2	1	3	0
gc_84238	2	0	4	1	2	2	0	3	9	0	0	1	3	6	1
si:ch211-153b23.4_84239	6	7	8	7	9	1	6	7	7	0	5	2	10	10	6
col11a1b_84240	956	1145	1009	1306	971	1069	1170	1128	1057	1	1160	1138	1081	1017	1167
col6a3_84241	416	456	466	346	422	525	360	319	538	1	599	384	463	398	415
nr2f2_84242	2	5	1	6	3	4	2	3	10	0	6	3	2	9	12
mpv17l2_84243	0	1	2	1	1	5	1	2	0	0	2	3	1	4	4
crot_84244	28	22	21	28	20	9	26	14	35	0	22	25	21	20	30
eepd1_84245	20	23	33	30	21	30	25	27	34	0	24	19	29	27	17
ctsd_84246	26	49	28	21	15	33	30	20	45	1	33	35	31	23	49
anpepb_84247	1	3	6	4	5	1	0	5	15	0	5	1	5	4	14
cspg4_84248	6	2	2	5	9	3	3	3	7	0	3	1	1	4	8
si:dkey-183i3.5_84249	367	992	581	822	1047	422	1191	538	682	3	541	1250	460	489	888
got1_84250	291	247	289	326	293	301	292	283	416	1	320	291	339	326	273
zc3h12a_84251	6	10	3	4	4	7	2	6	7	0	4	11	6	4	8
si:ch211-147m6.1_84252	0	0	4	1	4	1	0	0	5	0	0	3	0	1	3
gstk1_84253	49	70	53	32	18	39	35	35	28	0	33	34	47	34	43
kita_84254	26	23	18	30	30	21	28	27	30	0	25	31	29	21	21
cd9b_84255	0	0	0	0	0	3	0	0	0	0	4	0	0	0	0
dnmt3ab_84256	191	217	195	175	160	250	149	190	239	0	240	196	196	208	169
nox1_84257	19	17	33	24	13	15	23	16	24	1	17	20	43	31	21
neflb_84258	9	11	19	20	15	5	9	7	12	0	13	11	12	6	19
thbd_84259	0	2	1	1	0	3	1	0	0	0	5	1	3	1	1
si:ch211-207i20.2_84260	4	6	9	6	1	6	3	5	6	1	13	6	2	7	4
hadhb_84261	25	31	46	24	16	27	23	35	37	0	17	30	27	16	17
tgfbi_84262	111	136	91	143	101	59	104	80	108	0	93	135	94	135	121
zgc:136930_84263	2	0	2	1	0	0	1	1	2	0	1	0	1	2	2
matn1_84264	4	6	7	2	4	7	6	9	6	0	13	3	2	14	7
tmem176l.2_84265	1	0	1	4	6	3	0	0	2	0	2	1	0	3	3
mia_84266	7	1	3	5	3	3	1	4	2	0	0	0	1	1	1
klf11a_84267	52	118	76	87	101	46	104	52	60	0	52	107	44	55	106
slco3a1_84268	19	4	3	2	8	6	8	8	10	0	12	4	10	10	5
cyp2y3_84269	649	494	449	605	803	532	558	519	440	0	503	554	534	513	679
btr06_84270	3	1	5	6	8	7	2	1	2	0	5	1	5	2	10
ttr_84271	2	1	3	2	2	5	1	1	5	0	0	2	4	5	1
klf11b_84272	19	8	13	13	8	14	5	7	7	0	8	7	4	12	11
si:ch211-207n23.2_84273	6	1	7	8	1	6	5	7	5	0	4	4	3	10	4
col2a1b_84274	201	327	348	274	182	324	277	363	328	0	478	250	292	282	241
tspan7_84275	1067	1030	795	1802	1799	993	1460	1134	1122	1	935	1453	1231	1434	1714
clca1_84276	0	0	4	3	1	0	3	1	7	0	2	2	4	3	5
col10a1a_84277	2	6	2	5	6	0	1	2	1	0	2	3	1	4	0
krtt1c19e_84278	4588	6345	5405	5690	4759	5897	4214	5308	5098	3	6180	5917	3787	4623	5156
sardh_84279	1	0	3	4	7	8	4	1	3	0	5	3	1	2	2
col1a1b_84280	224	330	262	242	144	195	382	278	217	0	201	266	288	109	325
nr0b2a_84281	5	3	4	5	9	5	3	2	4	0	14	6	0	6	8
slc25a20_84282	4	2	8	4	2	4	4	0	8	0	10	2	1	8	5
elocb_84283	779	888	946	1029	811	560	848	777	792	1	725	757	841	761	909
crkl_84284	806	732	688	1251	1079	674	1028	650	965	0	579	1061	741	1084	987
elovl4b_84285	3	1	0	0	1	0	0	0	5	0	0	2	2	0	3
ndufa1_84286	1274	1848	1548	1652	1162	1158	1444	1370	1325	4	1473	1404	1382	1222	1258
nr2f1a_84287	103	143	104	65	74	177	64	113	123	0	204	62	115	90	59
si:dkey-201i2.4_84288	0	3	1	3	3	0	0	0	3	0	0	2	2	2	6
dhfr_84289	5	3	5	6	10	2	4	6	8	0	7	6	4	9	6
trak2_84290	1	3	2	0	2	3	2	1	7	0	1	0	1	0	1
pkmb_84291	234	810	353	664	518	232	625	707	473	0	273	618	421	456	698
sytl2a_84292	5	4	4	2	4	9	5	4	5	0	6	2	6	10	3
BX248108.1_84293	0	1	4	1	4	9	1	0	4	0	0	3	4	5	1
mboat7_84294	17	15	17	20	12	12	14	20	11	0	12	15	16	23	12
casp7_84295	22	37	27	17	12	25	14	16	23	0	25	14	27	18	24
vtg6_84296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
col12a1a_84297	106	103	92	238	190	121	129	127	158	0	152	120	152	178	161
sypl1_84298	32	28	47	44	45	36	34	36	39	0	27	29	37	42	43
robo1_84299	17	34	20	22	9	32	17	12	19	0	43	18	26	16	34
sparc_84300	5388	7788	7249	8513	4834	3693	6080	5695	4449	8	4337	5921	5422	4400	6556
col12a1b_84301	7	7	13	12	1	11	7	10	4	0	17	4	2	8	6
c1qb_84302	1	5	4	4	6	6	1	5	9	0	3	1	2	9	3
si:ch211-186e20.2_84303	0	5	4	2	2	3	1	3	10	0	2	7	0	4	4
zgc:153932_84304	1	2	7	5	5	2	2	4	12	0	0	3	0	7	1
ctnnal1_84305	152	122	140	136	125	167	112	110	137	0	144	120	103	120	144
dkk1b_84306	28	29	23	25	13	20	28	21	40	0	42	25	23	32	29
plcb3_84307	11	9	10	8	9	13	8	8	4	0	9	8	11	9	7
rbp2b_84308	5	2	10	8	2	5	6	4	11	0	11	1	8	3	7
tm7sf3_84309	172	164	157	252	229	142	212	201	200	0	162	208	187	218	192
ggh_84310	3	1	5	5	5	4	5	1	16	0	6	4	9	8	4
fgfbp2b_84311	67	164	111	199	119	60	151	187	133	0	81	159	101	111	130
ccdc85b_84312	621	585	583	706	663	867	644	590	649	0	657	745	603	639	519
chek2_84313	15	1	17	6	14	11	4	10	15	0	10	12	10	10	6
orc4_84314	174	119	148	233	148	187	185	187	177	0	174	176	181	196	211
zmp:0000000936_84315	12	21	18	15	22	28	13	15	21	0	4	14	16	17	19
ralab_84316	229	231	252	236	222	267	271	222	250	0	241	237	245	312	222
pygma_84317	44	48	58	39	30	16	48	38	35	0	35	29	52	32	56
BX255920.1_84318	1	2	7	4	7	3	1	2	7	0	2	4	5	3	1
apoc1_84319	9669	12869	11139	13437	11104	7601	7911	10394	9674	8	8158	7931	10944	8675	13816
