X	DMSO_24h_run1	DMSO_24h_run2	DMSO_24h_run3	DMSO_24h_run4	DMSO_24h_run5	NK_24h_run1	NK_24h_run2	NK_24h_run3	NK_24h_run4	NK_24h_run5	VPA_1.2EC10_24h_run1	VPA_1.2EC10_24h_run2	VPA_1.2EC10_24h_run3	VPA_1.2EC10_24h_run4	VPA_1.2EC10_24h_run5
cpt1b_84232	0	0	0	2	0	3	1	6	0	3	7	3	2	0	3
clca1_84233	0	0	0	0	0	1	1	0	0	0	0	2	1	0	0
col4a6_84234	31	10	11	6	0	13	8	18	8	5	7	3	18	10	8
col6a2_84235	13	19	28	44	0	15	21	22	31	44	19	10	27	58	38
rwdd_84236	23	36	32	14	0	18	49	43	22	18	23	18	26	27	20
si:ch211-219a15.4_84237	2	0	2	6	0	1	0	3	2	0	0	0	1	4	0
gc_84238	0	2	4	5	0	0	3	1	0	2	0	2	3	4	1
si:ch211-153b23.4_84239	5	4	0	4	0	0	4	1	0	9	2	0	5	0	1
col11a1b_84240	438	429	510	433	0	413	388	515	461	375	271	235	453	457	501
col6a3_84241	163	133	179	139	0	130	152	145	128	150	114	75	168	129	242
nr2f2_84242	13	5	7	0	0	6	1	6	8	5	2	3	1	7	5
mpv17l2_84243	1	1	2	2	0	2	0	1	4	2	0	0	1	1	0
crot_84244	17	25	18	7	0	17	16	18	11	10	6	5	10	14	18
eepd1_84245	173	43	94	49	0	66	28	52	75	38	27	42	53	50	45
ctsd_84246	51	8	41	11	0	32	30	49	36	11	36	6	27	8	27
anpepb_84247	14	17	47	12	0	32	23	20	23	21	5	20	26	20	12
cspg4_84248	0	3	0	1	0	7	3	6	3	4	0	5	3	5	1
si:dkey-183i3.5_84249	21	28	63	17	3	23	16	14	20	15	16	14	12	10	12
got1_84250	184	157	157	203	1	179	170	190	162	188	116	120	205	180	197
zc3h12a_84251	11	8	5	7	0	1	5	5	6	2	1	5	14	8	9
si:ch211-147m6.1_84252	1	0	0	5	0	0	0	1	4	4	3	2	1	2	1
gstk1_84253	24	15	24	19	0	24	34	34	35	23	5	19	28	40	18
kita_84254	7	18	7	18	0	10	25	12	13	13	17	10	25	15	8
cd9b_84255	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1
dnmt3ab_84256	219	145	210	102	1	217	164	179	92	110	170	101	147	114	151
nox1_84257	12	37	60	42	0	27	24	18	31	26	18	13	16	35	29
neflb_84258	0	9	6	3	0	2	1	3	4	4	0	1	8	9	2
thbd_84259	4	0	0	0	0	1	0	0	2	2	1	4	4	0	4
si:ch211-207i20.2_84260	6	8	9	8	0	15	3	8	4	0	4	4	18	3	6
hadhb_84261	35	10	24	23	0	34	18	23	8	11	16	14	14	14	18
tgfbi_84262	46	48	25	38	0	46	49	50	55	48	17	32	44	29	35
zgc:136930_84263	0	0	0	3	0	2	1	0	2	0	0	0	0	5	0
matn1_84264	27	6	5	14	1	14	6	10	9	7	3	15	7	5	0
tmem176l.2_84265	0	0	3	1	0	0	2	0	4	5	2	0	1	0	1
mia_84266	0	3	15	3	0	4	1	3	12	3	8	3	6	7	5
klf11a_84267	16	43	32	37	0	25	38	34	26	41	19	24	38	22	53
slco3a1_84268	10	2	3	10	0	7	4	6	3	4	7	2	7	2	4
cyp2y3_84269	449	567	567	539	0	463	564	519	660	1024	264	468	534	651	810
btr06_84270	0	0	0	1	0	1	1	3	1	4	0	1	5	0	1
ttr_84271	11	0	0	0	0	2	3	4	1	1	0	1	2	2	0
klf11b_84272	11	5	9	6	0	13	10	25	6	8	4	5	13	12	13
si:ch211-207n23.2_84273	0	1	0	5	0	3	2	2	2	1	3	3	3	1	2
col2a1b_84274	255	171	206	108	0	241	169	261	139	111	157	68	201	113	155
tspan7_84275	1140	1642	1186	2442	1	1006	1438	1338	2364	2432	732	1142	1657	2577	2741
clca1_84276	1	1	2	1	0	1	1	3	1	8	0	1	4	6	2
col10a1a_84277	0	1	5	0	0	1	0	2	1	7	0	0	5	1	5
krtt1c19e_84278	137	119	357	253	2	105	175	217	301	216	155	81	169	269	319
sardh_84279	1	4	3	3	0	1	1	0	1	0	0	2	3	0	4
col1a1b_84280	83	41	41	67	0	46	43	89	66	36	52	36	37	33	27
nr0b2a_84281	5	3	1	4	0	4	9	5	14	13	7	5	3	8	1
slc25a20_84282	15	2	6	5	0	0	2	4	2	6	2	0	7	5	2
elocb_84283	768	824	810	896	1	678	867	987	1007	823	447	638	803	788	985
crkl_84284	352	966	687	1129	1	431	935	762	960	1149	357	679	854	1137	1243
elovl4b_84285	0	0	0	0	0	0	0	0	0	0	1	0	1	4	1
ndufa1_84286	961	1221	1676	1258	0	1341	1523	1571	1392	1161	761	713	1202	1248	1319
nr2f1a_84287	185	55	96	36	0	116	71	87	31	30	94	32	75	34	57
si:dkey-201i2.4_84288	0	0	0	1	0	1	1	0	0	4	0	0	0	0	1
dhfr_84289	4	7	6	6	0	9	3	11	1	6	15	3	5	4	2
trak2_84290	4	3	0	2	1	1	2	0	2	2	2	1	4	1	1
pkmb_84291	8	4	8	23	1	15	17	18	14	21	8	7	9	30	10
sytl2a_84292	2	4	4	3	0	1	2	0	1	2	4	2	4	3	2
BX248108.1_84293	0	1	2	0	0	0	1	2	0	3	0	0	5	2	0
mboat7_84294	11	10	10	17	0	15	22	19	14	7	10	8	11	10	12
casp7_84295	6	5	24	10	0	6	5	15	14	7	8	7	10	11	13
vtg6_84296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
col12a1a_84297	65	62	36	86	0	85	74	41	53	94	54	44	66	52	108
sypl1_84298	17	14	4	23	0	11	16	27	18	15	10	21	22	23	19
robo1_84299	6	3	6	10	0	11	6	8	5	4	9	5	11	8	2
sparc_84300	1877	3764	5265	4273	2	3604	4212	5203	5001	3751	1468	2489	4029	5005	4176
col12a1b_84301	16	5	9	2	0	6	3	4	5	6	5	4	9	1	1
c1qb_84302	0	7	1	0	0	2	1	3	4	3	0	2	6	5	1
si:ch211-186e20.2_84303	0	3	3	0	0	1	5	1	5	2	2	4	1	6	2
zgc:153932_84304	0	5	0	12	0	0	4	1	1	8	0	6	6	5	1
ctnnal1_84305	194	163	160	155	0	232	200	216	116	136	141	121	204	139	140
dkk1b_84306	30	52	53	27	0	45	56	62	43	35	27	21	38	35	50
plcb3_84307	27	7	14	11	0	16	7	18	9	6	10	1	10	4	5
rbp2b_84308	0	2	1	2	0	0	5	2	1	1	0	0	6	3	2
tm7sf3_84309	130	170	174	203	1	104	166	166	182	183	76	117	165	181	249
ggh_84310	4	11	7	5	0	1	2	6	5	3	7	2	2	4	0
fgfbp2b_84311	14	10	12	4	0	20	11	10	12	11	15	2	17	12	5
ccdc85b_84312	466	469	476	517	0	467	438	403	384	479	286	434	465	528	509
chek2_84313	22	18	15	15	0	18	13	36	25	13	14	13	28	11	7
orc4_84314	251	279	345	411	0	290	340	329	324	402	147	209	331	383	451
zmp:0000000936_84315	37	20	21	17	0	16	14	19	11	15	18	16	21	16	23
ralab_84316	259	266	263	297	1	219	217	231	198	249	157	134	230	206	284
pygma_84317	4	4	16	12	0	9	7	9	2	10	7	6	9	6	7
BX255920.1_84318	0	11	0	0	0	2	3	0	2	2	0	0	8	3	6
apoc1_84319	21639	10697	15939	11949	2	12843	13914	14853	14618	12881	5944	9009	15156	12060	13327
fbl_84320	0	0	1	2	0	0	1	0	0	0	1	0	4	4	2
c1qc_84321	0	1	1	3	0	0	3	2	3	2	1	1	1	5	2
slc10a2_84322	1	2	0	1	0	6	0	1	0	3	0	1	1	1	1
lsm5_84323	242	325	173	443	0	167	414	264	458	515	138	187	316	370	400
ddx42_84324	135	85	99	78	0	102	77	91	78	48	92	53	97	61	77
cdh2_84325	63	54	51	51	0	37	86	119	35	15	15	29	69	25	21
col9a1a_84326	1	1	1	2	0	2	0	0	0	0	0	2	0	2	2
ppm1da_84327	107	57	88	42	0	126	50	88	39	30	83	34	66	51	48
col5a3b_84328	109	66	138	93	0	130	93	113	77	45	78	50	105	64	125
phgdh_84329	410	201	198	168	1	440	204	285	149	110	197	117	241	162	170
lpar2b_84330	56	40	53	18	0	80	38	48	20	19	44	17	42	21	31
ctgfa_84331	212	205	271	150	0	223	206	198	121	119	195	86	139	140	140
hapln1a_84332	650	599	998	866	0	702	632	839	997	635	459	452	867	900	859
plekhm1_84333	40	8	14	7	0	17	5	12	17	8	14	11	20	10	5
apoa2_84334	34	20	77	11	0	35	15	53	34	21	13	19	23	23	24
lamb4_84335	32	9	26	18	0	22	12	18	11	10	18	6	25	7	18
zgc:171426_84336	0	5	2	2	0	1	4	5	0	2	0	0	2	3	1
foxo4_84337	113	188	141	253	1	121	180	97	143	175	83	127	183	192	185
col2a1a_84338	2678	1543	2334	1358	6	2301	1984	2140	1477	1019	1506	894	1726	1159	1514
ifit11_84339	0	0	0	0	0	1	0	0	0	4	3	0	0	0	0
lipg_84340	5	7	5	3	0	4	6	5	4	7	2	1	5	3	6
zgc:162730_84341	146	71	97	58	0	151	77	75	74	35	71	28	69	54	52
ntd5_84342	135	130	113	178	0	139	183	154	149	120	101	65	120	114	151
bbox1_84343	6	5	5	4	0	6	1	14	0	5	5	0	5	6	3
fhl3a_84344	89	163	133	217	0	103	165	164	190	179	82	89	160	123	211
gusb_84345	125	103	87	96	0	97	83	116	61	62	44	54	96	88	104
rps4x_84346	15481	9628	10818	7837	5	14631	10026	11937	7083	6082	8105	5310	9119	7508	7588
cdh1_84347	836	331	475	284	0	609	335	443	293	145	284	204	310	221	208
btr09_84348	0	1	2	1	0	3	3	1	1	0	2	3	0	0	1
alas1_84349	47	16	10	4	0	24	13	18	6	3	9	5	16	8	9
ces2_84350	74	106	267	154	0	170	119	164	393	238	68	178	139	141	140
