X	DMSO_24h_run1	DMSO_24h_run2	DMSO_24h_run3	DMSO_24h_run4	DMSO_24h_run5	NK_24h_run1	NK_24h_run2	NK_24h_run3	NK_24h_run4	NK_24h_run5	VPA_EC10_24h_run1	VPA_EC10_24h_run2	VPA_EC10_24h_run3	VPA_EC10_24h_run4	VPA_EC10_24h_run5
cpt1b_84232	0	0	0	2	0	3	1	6	0	3	2	1	1	0	2
clca1_84233	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0
col4a6_84234	31	10	11	6	0	13	8	18	8	5	14	4	2	5	4
col6a2_84235	13	19	28	44	0	15	21	22	31	44	32	23	15	51	35
rwdd_84236	23	36	32	14	0	18	49	43	22	18	22	14	24	33	9
si:ch211-219a15.4_84237	2	0	2	6	0	1	0	3	2	0	1	0	0	2	0
gc_84238	0	2	4	5	0	0	3	1	0	2	1	0	1	1	5
si:ch211-153b23.4_84239	5	4	0	4	0	0	4	1	0	9	0	6	1	1	4
col11a1b_84240	438	429	510	433	0	413	388	515	461	375	459	350	378	578	440
col6a3_84241	163	133	179	139	0	130	152	145	128	150	168	126	140	140	170
nr2f2_84242	13	5	7	0	0	6	1	6	8	5	4	2	3	1	7
mpv17l2_84243	1	1	2	2	0	2	0	1	4	2	0	2	1	1	1
crot_84244	17	25	18	7	0	17	16	18	11	10	12	28	6	10	11
eepd1_84245	173	43	94	49	0	66	28	52	75	38	48	59	61	51	45
ctsd_84246	51	8	41	11	0	32	30	49	36	11	19	18	30	14	12
anpepb_84247	14	17	47	12	0	32	23	20	23	21	10	27	23	14	15
cspg4_84248	0	3	0	1	0	7	3	6	3	4	0	0	1	1	3
si:dkey-183i3.5_84249	21	28	63	17	3	23	16	14	20	15	16	17	12	37	30
got1_84250	184	157	157	203	1	179	170	190	162	188	102	168	148	235	192
zc3h12a_84251	11	8	5	7	0	1	5	5	6	2	12	6	3	5	2
si:ch211-147m6.1_84252	1	0	0	5	0	0	0	1	4	4	0	8	2	7	2
gstk1_84253	24	15	24	19	0	24	34	34	35	23	26	31	17	24	26
kita_84254	7	18	7	18	0	10	25	12	13	13	16	10	17	20	14
cd9b_84255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dnmt3ab_84256	219	145	210	102	1	217	164	179	92	110	182	118	142	131	162
nox1_84257	12	37	60	42	0	27	24	18	31	26	14	18	18	25	22
neflb_84258	0	9	6	3	0	2	1	3	4	4	4	9	5	3	6
thbd_84259	4	0	0	0	0	1	0	0	2	2	0	8	1	4	2
si:ch211-207i20.2_84260	6	8	9	8	0	15	3	8	4	0	9	9	8	5	9
hadhb_84261	35	10	24	23	0	34	18	23	8	11	21	11	28	18	9
tgfbi_84262	46	48	25	38	0	46	49	50	55	48	38	31	38	46	27
zgc:136930_84263	0	0	0	3	0	2	1	0	2	0	1	0	0	4	1
matn1_84264	27	6	5	14	1	14	6	10	9	7	16	21	3	8	1
tmem176l.2_84265	0	0	3	1	0	0	2	0	4	5	1	1	1	2	3
mia_84266	0	3	15	3	0	4	1	3	12	3	2	1	3	0	2
klf11a_84267	16	43	32	37	0	25	38	34	26	41	31	37	27	42	29
slco3a1_84268	10	2	3	10	0	7	4	6	3	4	0	1	4	5	1
cyp2y3_84269	449	567	567	539	0	463	564	519	660	1024	290	383	355	576	620
btr06_84270	0	0	0	1	0	1	1	3	1	4	0	1	3	3	0
ttr_84271	11	0	0	0	0	2	3	4	1	1	0	5	0	3	2
klf11b_84272	11	5	9	6	0	13	10	25	6	8	3	9	4	12	9
si:ch211-207n23.2_84273	0	1	0	5	0	3	2	2	2	1	1	5	1	2	2
col2a1b_84274	255	171	206	108	0	241	169	261	139	111	170	69	189	178	90
tspan7_84275	1140	1642	1186	2442	1	1006	1438	1338	2364	2432	886	1515	1218	1906	2110
clca1_84276	1	1	2	1	0	1	1	3	1	8	0	1	1	2	3
col10a1a_84277	0	1	5	0	0	1	0	2	1	7	1	0	2	3	2
krtt1c19e_84278	137	119	357	253	2	105	175	217	301	216	196	75	253	284	285
sardh_84279	1	4	3	3	0	1	1	0	1	0	2	4	1	0	2
col1a1b_84280	83	41	41	67	0	46	43	89	66	36	82	37	93	49	26
nr0b2a_84281	5	3	1	4	0	4	9	5	14	13	1	3	4	6	3
slc25a20_84282	15	2	6	5	0	0	2	4	2	6	2	5	2	3	11
elocb_84283	768	824	810	896	1	678	867	987	1007	823	641	912	857	910	665
crkl_84284	352	966	687	1129	1	431	935	762	960	1149	483	818	573	1184	1016
elovl4b_84285	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1
ndufa1_84286	961	1221	1676	1258	0	1341	1523	1571	1392	1161	1180	1067	1102	1398	803
nr2f1a_84287	185	55	96	36	0	116	71	87	31	30	95	61	71	66	26
si:dkey-201i2.4_84288	0	0	0	1	0	1	1	0	0	4	1	0	0	1	2
dhfr_84289	4	7	6	6	0	9	3	11	1	6	3	6	3	7	1
trak2_84290	4	3	0	2	1	1	2	0	2	2	0	0	1	2	0
pkmb_84291	8	4	8	23	1	15	17	18	14	21	9	8	28	14	24
sytl2a_84292	2	4	4	3	0	1	2	0	1	2	0	3	7	7	0
BX248108.1_84293	0	1	2	0	0	0	1	2	0	3	0	1	2	1	0
mboat7_84294	11	10	10	17	0	15	22	19	14	7	16	10	21	12	6
casp7_84295	6	5	24	10	0	6	5	15	14	7	9	10	13	5	6
vtg6_84296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
col12a1a_84297	65	62	36	86	0	85	74	41	53	94	34	43	37	78	75
sypl1_84298	17	14	4	23	0	11	16	27	18	15	9	21	15	24	10
robo1_84299	6	3	6	10	0	11	6	8	5	4	3	2	9	7	5
sparc_84300	1877	3764	5265	4273	2	3604	4212	5203	5001	3751	2417	2967	4297	5569	2416
col12a1b_84301	16	5	9	2	0	6	3	4	5	6	2	0	1	4	1
c1qb_84302	0	7	1	0	0	2	1	3	4	3	7	2	1	5	3
si:ch211-186e20.2_84303	0	3	3	0	0	1	5	1	5	2	2	7	2	2	3
zgc:153932_84304	0	5	0	12	0	0	4	1	1	8	3	1	4	2	0
ctnnal1_84305	194	163	160	155	0	232	200	216	116	136	203	150	170	157	166
dkk1b_84306	30	52	53	27	0	45	56	62	43	35	37	24	26	42	25
plcb3_84307	27	7	14	11	0	16	7	18	9	6	10	8	10	9	6
rbp2b_84308	0	2	1	2	0	0	5	2	1	1	1	2	2	1	0
tm7sf3_84309	130	170	174	203	1	104	166	166	182	183	103	169	138	243	182
ggh_84310	4	11	7	5	0	1	2	6	5	3	3	6	3	3	1
fgfbp2b_84311	14	10	12	4	0	20	11	10	12	11	13	8	12	12	9
ccdc85b_84312	466	469	476	517	0	467	438	403	384	479	387	541	336	513	446
chek2_84313	22	18	15	15	0	18	13	36	25	13	9	16	13	14	9
orc4_84314	251	279	345	411	0	290	340	329	324	402	229	285	264	413	343
zmp:0000000936_84315	37	20	21	17	0	16	14	19	11	15	19	15	16	23	27
ralab_84316	259	266	263	297	1	219	217	231	198	249	215	199	180	228	235
pygma_84317	4	4	16	12	0	9	7	9	2	10	9	1	14	13	5
BX255920.1_84318	0	11	0	0	0	2	3	0	2	2	1	2	2	7	0
apoc1_84319	21639	10697	15939	11949	2	12843	13914	14853	14618	12881	11210	11966	19641	9380	10758
fbl_84320	0	0	1	2	0	0	1	0	0	0	0	0	0	1	1
c1qc_84321	0	1	1	3	0	0	3	2	3	2	0	0	3	2	1
slc10a2_84322	1	2	0	1	0	6	0	1	0	3	0	1	1	2	1
lsm5_84323	242	325	173	443	0	167	414	264	458	515	159	240	199	379	292
ddx42_84324	135	85	99	78	0	102	77	91	78	48	74	50	63	83	64
cdh2_84325	63	54	51	51	0	37	86	119	35	15	32	19	76	45	21
col9a1a_84326	1	1	1	2	0	2	0	0	0	0	1	1	2	0	0
ppm1da_84327	107	57	88	42	0	126	50	88	39	30	81	51	69	60	34
col5a3b_84328	109	66	138	93	0	130	93	113	77	45	83	51	97	70	45
phgdh_84329	410	201	198	168	1	440	204	285	149	110	225	138	194	211	137
lpar2b_84330	56	40	53	18	0	80	38	48	20	19	54	30	42	35	25
ctgfa_84331	212	205	271	150	0	223	206	198	121	119	214	126	149	126	89
hapln1a_84332	650	599	998	866	0	702	632	839	997	635	634	634	527	991	758
plekhm1_84333	40	8	14	7	0	17	5	12	17	8	10	11	8	12	4
apoa2_84334	34	20	77	11	0	35	15	53	34	21	37	9	40	21	22
lamb4_84335	32	9	26	18	0	22	12	18	11	10	26	15	15	17	8
zgc:171426_84336	0	5	2	2	0	1	4	5	0	2	0	1	3	0	3
foxo4_84337	113	188	141	253	1	121	180	97	143	175	112	138	117	216	162
col2a1a_84338	2678	1543	2334	1358	6	2301	1984	2140	1477	1019	1880	1047	1544	1609	1112
ifit11_84339	0	0	0	0	0	1	0	0	0	4	0	2	0	0	0
lipg_84340	5	7	5	3	0	4	6	5	4	7	8	2	1	0	4
zgc:162730_84341	146	71	97	58	0	151	77	75	74	35	103	56	55	52	44
ntd5_84342	135	130	113	178	0	139	183	154	149	120	220	112	95	136	153
bbox1_84343	6	5	5	4	0	6	1	14	0	5	4	6	1	1	1
fhl3a_84344	89	163	133	217	0	103	165	164	190	179	87	167	128	138	196
gusb_84345	125	103	87	96	0	97	83	116	61	62	64	50	74	83	78
rps4x_84346	15481	9628	10818	7837	5	14631	10026	11937	7083	6082	10557	6418	9613	9691	6746
cdh1_84347	836	331	475	284	0	609	335	443	293	145	344	278	298	335	207
btr09_84348	0	1	2	1	0	3	3	1	1	0	0	4	0	0	1
alas1_84349	47	16	10	4	0	24	13	18	6	3	17	3	10	4	11
ces2_84350	74	106	267	154	0	170	119	164	393	238	44	232	149	272	209
psmd2_84351	25	12	37	13	0	28	12	16	20	11	19	15	19	13	14
mical1_84352	62	38	37	18	0	62	50	59	27	23	50	33	44	35	35
bdh2_84353	0	0	3	1	0	0	0	0	1	0	0	0	1	1	0
cpne2_84354	2	3	6	3	0	4	5	1	1	3	0	2	2	2	1
myca_84355	204	261	216	264	0	197	263	300	254	234	224	173	232	309	230
sucla2_84356	56	126	135	102	0	82	89	152	139	96	103	73	99	127	77
st3gal1l_84357	2	1	0	3	0	0	0	1	0	2	1	3	0	1	2
myb_84358	149	210	188	226	0	114	200	176	180	221	95	151	145	190	270
tph2_84359	22	8	5	5	0	8	7	5	6	0	5	9	4	8	1
sccpdha_84360	5	12	4	0	0	5	3	9	11	10	3	7	7	9	2
sp100.1_84361	8	8	2	3	0	12	5	20	6	9	2	4	1	5	3
acmsd_84362	4	5	8	15	0	0	6	5	11	11	4	10	9	6	4
zp3b_84363	9	13	16	8	0	13	6	12	8	6	12	13	4	11	6
si:ch211-278j3.3_84364	6	4	5	3	0	7	11	8	5	2	9	5	5	7	5
elp1_84365	340	291	270	308	0	330	294	282	294	249	226	233	229	302	274
cpne3_84366	49	51	41	52	0	22	48	58	53	24	22	31	31	44	32
stil_84367	3	5	6	1	0	10	3	3	7	2	1	3	3	5	8
mitfa_84368	12	3	9	8	0	12	10	10	5	4	7	3	12	8	2
plaua_84369	0	1	1	0	0	0	4	5	1	1	0	0	2	0	0
ddr2a_84370	20	21	32	16	0	19	20	17	16	17	29	25	26	25	14
stat1a_84371	411	166	229	167	0	296	145	202	187	174	200	214	173	194	190
ahsa1b_84372	18	9	9	8	0	19	17	9	11	8	9	10	3	10	8
pigp_84373	61	21	48	24	0	55	16	70	30	20	35	38	52	49	29
spp1_84374	41	7	2	1	0	18	2	3	3	6	2	113	5	4	1
SYDE1_84375	13	5	3	2	0	13	5	12	2	0	4	4	3	5	6
spopla_84376	50	26	27	9	0	32	20	38	22	19	34	12	32	21	16
mapk3_84377	1123	903	802	1013	0	890	870	926	1015	986	793	898	664	1073	949
csnk2a2a_84378	412	621	465	583	2	342	540	451	632	831	344	512	424	614	607
mllt11_84379	95	101	86	121	0	63	118	136	102	107	48	61	84	75	56
