X	GSM49604
MIR4640	246.5
RFC2	6.3
HSPA6	49.5
PAX8	382
GUCA1A	25.3
MIR5193	177.4
THRA	68.5
PTPN21	22
CCL5	89.7
CYP2E1	50.1
EPHB3	51.7
ESRRA	62.6
CYP2A6	145.1
GAS6	588.2
MMP14	191.5
TRADD	80
CHURC1-FNTB	9.5
PLD1	58.6
DTX2P1-UPK3BP1-PMS2P11	158.5
BAD	21.9
PRPF8	64.4
CAPNS1	33.5
RPL35	985.7
MIR6805	2335.9
EIF4G2	3053.1
EIF3D	242
PARK7	1311.8
SRP14	980.1
GDI2	113.9
GDI2	580.6
RPL11	3190.8
ARF3	137.2
RPL21P28	5817.4
RPL24	3200.2
HNRNPC	708
SEPT2	2115
HNRNPA1P10	6481.7
RPS27A	8625.6
LOC100508408	8390.4
FAU	4259.8
TARDBP	400.6
CFL1	1172.7
RPL18	1275
EIF3F	887
RPS5	554
RPL27	8131.7
RPL34	11032.7
NARS	695.7
STARD7	183.6
RPL19	3162.6
SLC25A3	779.6
SNORD35B	5603.2
RPL9	7757.4
MIR5047	3433.8
RPL6	2846.7
CTDNEP1	144
RPL10A	1873.4
CBX3	910.5
RPL17-C18orf32	5672.2
PSMB2	236
KHDRBS1	683.4
ATP6V1G2-DDX39B	150.8
RTCB	350.8
ERH	746.3
GATC	166.8
ABCF1	154.5
DAD1	170.8
YY1	700.1
JTB	535.5
KAT7	99.5
ZNF146	370.4
SART1	154.3
ILF2	123.8
SPAG7	240.8
ZPR1	88
TAF10	242.9
C1D	266.7
NONO	1272.5
LOC101929240	164
RHOA	640.3
RNPS1	370.8
RPS24	7823.9
RPL30	8518.8
NPM1	3452.8
HSP90AB1	561.1
MIR3620	143.5
IK	267.2
SNX3	737
CANX	1838.2
SART3	135
CNPPD1	150.2
SMNDC1	356.7
HNRNPM	409.3
HNRNPD	503.6
RPL14	1642.7
GUK1	47.7
KXD1	197.6
OAZ1	860.5
ATP6V0B	66.1
KARS	158.6
H3F3AP4	3747.3
RPS6	1900.4
RPS7	2124.7
USP22	328.3
C11orf58	592.3
TCEB2	275.5
COX4I1	895.1
TMED2	1158.3
NBEAL1	4988.3
SNORD18C	4605.8
FNTA	1002.1
RPS25	4439.9
RPL37	11576.4
HINT1	740.2
EEF2	1115.6
RPS10	7679.9
ATP6V0E1	424
HNRNPK	925.5
ANAPC5	355.3
SNORD73A	7796.1
HNRNPU	154
HNRNPU	459
EIF3A	913.4
EIF3A	21.6
EIF3A	275
MIR3652	55.1
MIR3652	2543.2
MSN	281.3
ACTN4	56.5
APP	653.5
PRKAR1A	2097.7
PRKAR1A	45.4
PRKAR1A	137
DSP	279.1
RAD21	67.5
RAD21	304.8
WDR1	454.8
NCL	574.8
WDR1	81.7
AP2B1	81
AP2M1	61.5
CLTC	753.4
AP2B1	43.3
MLEC	33.3
MLEC	151.4
LASP1	322.6
SF3B2	29.5
TMEM59	890
CSRP1	501.2
CALM3	74.4
CALM3	167.8
SNHG4	307.8
CAP1	666.3
SNHG4	700.9
PTGES3	917.6
WARS	15.4
WARS	292.6
SETSIP	308.5
SETSIP	937.6
NDRG1	612.8
UBB	4783.1
PFN1	239.6
PTPRF	62.6
PTPRF	307.3
PTPRF	23.5
YWHAZ	408.2
YWHAZ	621.6
YWHAZ	453.7
YWHAZ	83.8
SOD1	1239
HDLBP	73.5
MARCKSL1	156.8
GABARAP	147.9
NUCB1	18.5
EIF3CL	331.1
GLUL	40.9
NUCB1	73.3
LDHA	975.4
SNORD96A	1471.3
SSR2	267.2
CALM3	110.4
P4HB	48.2
CALM3	1435.3
P4HB	10.7
SLC25A5	583
PHB	19.2
PHB	8.6
S100A11	121.2
CTSA	18.3
TOMM20	861.2
