X	GSM49576
MIR4640	449.5
RFC2	47.1
HSPA6	77.4
PAX8	430.5
GUCA1A	25.3
MIR5193	97.6
THRA	70.6
PTPN21	38
CCL5	4.5
CYP2E1	28.4
EPHB3	62.3
ESRRA	114.7
CYP2A6	114.7
GAS6	496
MMP14	367
TRADD	114.9
CHURC1-FNTB	31.3
PLD1	73
DTX2P1-UPK3BP1-PMS2P11	439.6
BAD	32.2
PRPF8	343.9
CAPNS1	163.8
RPL35	1722.5
MIR6805	4120.5
EIF4G2	3939.3
EIF3D	311.5
PARK7	1043.9
SRP14	1082.1
GDI2	445.7
GDI2	777.4
RPL11	3814.1
ARF3	219
RPL21P28	2630.2
RPL24	3386.9
HNRNPC	523.7
SEPT2	1680.4
HNRNPA1P10	4612.5
RPS27A	5930.6
LOC100508408	4183.6
FAU	2247.2
TARDBP	382.3
CFL1	1741.7
RPL18	2412.3
EIF3F	1243.3
RPS5	2071.9
RPL27	3678.7
RPL34	5601
NARS	488
STARD7	216.6
RPL19	2694.3
SLC25A3	1535.1
SNORD35B	5498
RPL9	7138.3
MIR5047	1642.4
RPL6	3543.8
CTDNEP1	171.7
RPL10A	1743
CBX3	1023.2
RPL17-C18orf32	5084.9
PSMB2	345.4
KHDRBS1	663.4
ATP6V1G2-DDX39B	567.2
RTCB	360.4
ERH	1173.2
GATC	368.9
ABCF1	297.5
DAD1	312
YY1	740.9
JTB	741.2
KAT7	137.1
ZNF146	470
SART1	76.4
ILF2	523.9
SPAG7	244.6
ZPR1	74.2
TAF10	280
C1D	97.7
NONO	1509.7
LOC101929240	421.9
RHOA	1013.4
RNPS1	189.1
RPS24	5767.4
RPL30	4068
NPM1	2888.2
HSP90AB1	1869.5
MIR3620	576.1
IK	168
SNX3	563.8
CANX	1391
SART3	66.7
CNPPD1	40.9
SMNDC1	196.1
HNRNPM	643.3
HNRNPD	368.7
RPL14	1457.1
GUK1	94.8
KXD1	106.1
OAZ1	1216.1
ATP6V0B	221.9
KARS	406.3
H3F3AP4	2905.7
RPS6	5212.8
RPS7	3714
USP22	487.5
C11orf58	676.9
TCEB2	379.4
COX4I1	558.2
TMED2	1441.5
NBEAL1	5233
SNORD18C	4933.8
FNTA	629.5
RPS25	2606
RPL37	8955.3
HINT1	437.1
EEF2	2506.2
RPS10	5083
ATP6V0E1	371.4
HNRNPK	578.7
ANAPC5	463.1
SNORD73A	6835.4
HNRNPU	517.9
HNRNPU	984.3
EIF3A	400.1
EIF3A	89
EIF3A	125.4
MIR3652	242.2
