X	Control_49604	Control_49605	Control_49606	Control_49607	Control_49608
MIR4640	246.5	134.2	123.8	202.7	131.9
RFC2	6.3	16.3	17.9	16.5	19.9
HSPA6	49.5	76	78.8	109.8	95.3
PAX8	382	608.3	336	432.6	536.3
GUCA1A	25.3	54.4	58.8	60.3	51.9
MIR5193	177.4	130.7	129.3	170.3	126.4
THRA	68.5	136.9	124.4	133.9	104
PTPN21	22	10.6	43.2	59.4	12.2
CCL5	89.7	58.4	62.3	57.9	10.9
CYP2E1	50.1	27.6	38.2	50.3	58.2
EPHB3	51.7	105.8	12.1	25.6	11.7
ESRRA	62.6	28.3	100.1	146.6	25.8
CYP2A6	145.1	195.6	107.8	180.8	140.9
GAS6	588.2	724.3	595.7	634.1	775.6
MMP14	191.5	370.1	222	370.3	426
TRADD	80	145.7	108	107.2	96.9
CHURC1-FNTB	9.5	7.1	68	17.2	52.1
PLD1	58.6	45.8	73.9	83.5	21.2
DTX2P1-UPK3BP1-PMS2P11	158.5	272.4	176.5	308.6	279.5
BAD	21.9	11.3	32.6	10.7	7.3
PRPF8	64.4	158.5	138.2	44	198.4
CAPNS1	33.5	181.7	142.5	52.6	179.8
RPL35	985.7	861.6	532	639.5	383.4
MIR6805	2335.9	4530.9	3191.1	3335.6	1597.3
EIF4G2	3053.1	3523.1	3602.6	3115.3	2920.6
EIF3D	242	267.8	278.8	296.4	251.3
PARK7	1311.8	1371.7	891.2	743.7	1264.1
SRP14	980.1	851.9	886.5	871.6	964.8
GDI2	113.9	404	573.6	291.1	417.6
GDI2	580.6	1076.6	1053.3	897.7	816.6
RPL11	3190.8	3558.5	2718.7	2099.6	2215.2
ARF3	137.2	192	169.9	236.7	186.1
RPL21P28	5817.4	5679.5	3408.3	6803.9	2817.4
RPL24	3200.2	4442.4	3766	3782.5	3499.2
HNRNPC	708	507	645.5	420.6	335
sep-02	2115	1028.7	979	894.4	1010.9
HNRNPA1P10	6481.7	2931.2	2774.6	2433.3	2108.2
RPS27A	8625.6	5400	2674.9	4472.6	3051.5
LOC100508408	8390.4	4132.1	3055.4	3892.7	2315.8
FAU	4259.8	1670.6	1697.4	1571.6	1350.6
TARDBP	400.6	345.6	269	320.2	299.2
CFL1	1172.7	1090.8	931.4	824.1	542.9
RPL18	1275	2528.6	1848.2	2169.3	1260
EIF3F	887	863.9	596.4	457.4	543.1
RPS5	554	858.6	664.4	713	606
RPL27	8131.7	4918.8	3186.7	3329.6	3234.5
RPL34	11032.7	8370	5956.5	5690.9	5477.3
NARS	695.7	425.6	460.7	334.9	394.1
STARD7	183.6	307.6	217.1	164.6	186
RPL19	3162.6	2997.3	1805.8	2387.2	1579.6
SLC25A3	779.6	1028.4	882	808.5	957.7
SNORD35B	5603.2	8225.3	6803.2	6763.4	5281.7
RPL9	7757.4	6657.8	5530.4	6720.1	5234.3
MIR5047	3433.8	2326.2	2581.8	2327.8	1754.1
RPL6	2846.7	4812	3648.2	3787.2	3138.9
CTDNEP1	144	170.3	157.1	180.7	173.9
RPL10A	1873.4	702.7	693	874.1	516.3
CBX3	910.5	736.6	768.4	465.9	475.2
RPL17-C18orf32	5672.2	5772.2	5542.8	6178.9	3616.5
PSMB2	236	320.5	215.1	183.3	237.1
KHDRBS1	683.4	391.6	348.2	226.5	200
ATP6V1G2-DDX39B	150.8	307.3	245.6	234.6	241.7
RTCB	350.8	410.8	366.5	250.1	301.7
ERH	746.3	680.3	513.2	394.3	356.4
GATC	166.8	161.8	204.5	33.7	121.9
ABCF1	154.5	282.2	147.7	180.2	212.5
DAD1	170.8	266.2	324.8	218.2	193.3
YY1	700.1	520.1	481	488.4	391.5
JTB	535.5	352.8	398.4	206.5	362.1
KAT7	99.5	179.4	114.1	294.2	169.2
ZNF146	370.4	336.1	287.6	198	307.4
SART1	154.3	57.7	95.6	138.9	73.1
ILF2	123.8	118.9	177.4	167.2	100
SPAG7	240.8	255.8	231.7	275.8	216.4
ZPR1	88	71.3	106.6	65.7	66.2
TAF10	242.9	219.9	256.7	256.6	181.1
C1D	266.7	91.2	55.8	69.3	9.3
NONO	1272.5	529.9	637.4	445.1	512.3
LOC101929240	164	231.7	183.4	210	147.9
RHOA	640.3	1046.8	1140.1	706	863.8
RNPS1	370.8	225.6	120.3	146.1	183.6
RPS24	7823.9	7727.5	7031.2	5807.9	5766.8
RPL30	8518.8	6166.1	4262.3	4440.4	3946.1
NPM1	3452.8	2326	1342.8	1886.2	1439.2
HSP90AB1	561.1	938.7	1043.5	789.3	990.3
MIR3620	143.5	224.8	260.6	201.6	206.2
IK	267.2	189.4	231.7	214.4	204.9
SNX3	737	510.4	425.8	455.4	391.9
CANX	1838.2	1125.5	843	758.2	1103.3
SART3	135	80.7	56.1	86.7	67.5
CNPPD1	150.2	26.3	80.7	68.8	29.7
SMNDC1	356.7	104.8	85.9	95.2	89.3
HNRNPM	409.3	232.7	301.6	219	197.8
HNRNPD	503.6	213.4	302.5	274.2	353.1
RPL14	1642.7	1428	1269	1221.5	985.8
GUK1	47.7	81.9	145	50.4	88.4
KXD1	197.6	183.1	183.7	180.5	208.8
OAZ1	860.5	1595.5	1700.9	1319.1	995.3
ATP6V0B	66.1	200	197.2	281.4	153.8
KARS	158.6	211.6	221.3	224	146.6
H3F3AP4	3747.3	1154	1432.4	766.6	857.1
RPS6	1900.4	2835.7	2664.7	2739.8	2260
RPS7	2124.7	1495.3	1361.6	1071.8	1089.2
USP22	328.3	269.3	305.5	271.8	184.3
C11orf58	592.3	372.3	414.9	318.2	510.9
TCEB2	275.5	160.5	309	256.7	213.8
COX4I1	895.1	792.4	475	428.2	487.6
TMED2	1158.3	883.1	876.2	478.3	636
NBEAL1	4988.3	4663.5	3299.3	3309.9	2752.5
SNORD18C	4605.8	2638.2	2246	2051.2	1738.8
FNTA	1002.1	637.7	408.3	302.1	467.5
