X	GSM49606
MIR4640	123.8
RFC2	17.9
HSPA6	78.8
PAX8	336
GUCA1A	58.8
MIR5193	129.3
THRA	124.4
PTPN21	43.2
CCL5	62.3
CYP2E1	38.2
EPHB3	12.1
ESRRA	100.1
CYP2A6	107.8
GAS6	595.7
MMP14	222
TRADD	108
CHURC1-FNTB	68
PLD1	73.9
DTX2P1-UPK3BP1-PMS2P11	176.5
BAD	32.6
PRPF8	138.2
CAPNS1	142.5
RPL35	532
MIR6805	3191.1
EIF4G2	3602.6
EIF3D	278.8
PARK7	891.2
SRP14	886.5
GDI2	573.6
GDI2	1053.3
RPL11	2718.7
ARF3	169.9
RPL21P28	3408.3
RPL24	3766
HNRNPC	645.5
SEPT2	979
HNRNPA1P10	2774.6
RPS27A	2674.9
LOC100508408	3055.4
FAU	1697.4
TARDBP	269
CFL1	931.4
RPL18	1848.2
EIF3F	596.4
RPS5	664.4
RPL27	3186.7
RPL34	5956.5
NARS	460.7
STARD7	217.1
RPL19	1805.8
SLC25A3	882
SNORD35B	6803.2
RPL9	5530.4
MIR5047	2581.8
RPL6	3648.2
CTDNEP1	157.1
RPL10A	693
CBX3	768.4
RPL17-C18orf32	5542.8
PSMB2	215.1
KHDRBS1	348.2
ATP6V1G2-DDX39B	245.6
RTCB	366.5
ERH	513.2
GATC	204.5
ABCF1	147.7
DAD1	324.8
YY1	481
JTB	398.4
KAT7	114.1
ZNF146	287.6
SART1	95.6
ILF2	177.4
SPAG7	231.7
ZPR1	106.6
TAF10	256.7
C1D	55.8
NONO	637.4
LOC101929240	183.4
RHOA	1140.1
RNPS1	120.3
RPS24	7031.2
RPL30	4262.3
NPM1	1342.8
HSP90AB1	1043.5
MIR3620	260.6
IK	231.7
SNX3	425.8
CANX	843
SART3	56.1
CNPPD1	80.7
SMNDC1	85.9
HNRNPM	301.6
HNRNPD	302.5
RPL14	1269
GUK1	145
KXD1	183.7
OAZ1	1700.9
ATP6V0B	197.2
KARS	221.3
H3F3AP4	1432.4
RPS6	2664.7
RPS7	1361.6
USP22	305.5
C11orf58	414.9
TCEB2	309
COX4I1	475
TMED2	876.2
NBEAL1	3299.3
SNORD18C	2246
FNTA	408.3
RPS25	1836.7
RPL37	5054.2
HINT1	267.8
EEF2	950.7
RPS10	2652.1
ATP6V0E1	584.8
HNRNPK	433.4
ANAPC5	348.2
SNORD73A	6023.9
HNRNPU	308.7
HNRNPU	709.1
EIF3A	320.1
EIF3A	64.5
EIF3A	113.5
MIR3652	324.7
MIR3652	2311.8
MSN	481.8
ACTN4	180.5
APP	284.8
PRKAR1A	935.4
PRKAR1A	91.6
PRKAR1A	294.3
DSP	85.3
RAD21	91
RAD21	202.8
WDR1	534.2
NCL	664.5
WDR1	232.3
AP2B1	53.3
AP2M1	273.9
CLTC	2547.5
AP2B1	73.9
MLEC	90.5
MLEC	220.4
LASP1	275.1
SF3B2	17.3
TMEM59	1438.6
CSRP1	365.7
CALM3	155.5
CALM3	16
SNHG4	445.2
CAP1	743.8
SNHG4	314.5
PTGES3	850.3
WARS	282
WARS	542.8
SETSIP	540
SETSIP	559.2
NDRG1	470.6
UBB	4628.6
PFN1	359.2
PTPRF	64
PTPRF	70.1
PTPRF	10
YWHAZ	793.7
YWHAZ	462.9
YWHAZ	610.7
YWHAZ	428.2
SOD1	536.6
HDLBP	191.9
MARCKSL1	155.1
GABARAP	447.3
NUCB1	60.3
EIF3CL	238.2
GLUL	361.7
NUCB1	82.3
LDHA	1845.2
SNORD96A	1651.7
SSR2	565.9
CALM3	664.1
P4HB	524.7
CALM3	1047
P4HB	180
SLC25A5	362
PHB	106.2
PHB	11.8
S100A11	253
CTSA	115.9
TOMM20	431
CD63	2180
DNAJB1	128.4
SPARC	4030.3
DNAJB1	304.4
UBE2D3	508.5
UBE2D3	598
UBE2D3	320.7
XBP1	475
SPTBN1	13.2
SPTBN1	209.7
LAPTM4A	2155
RPL32	3167.7
CD81	367.8
UBE2L3	17.1
PTTG1IP	1074.9
GRN	370
HMGB1	328.4
HMGB1	879.9
GLO1	335.2
UBE2L3	224.4
UBE2L3	61.5
UBE2L3	110.8
SRSF11	77.1
SRSF11	186.7
SF3B3	30
SF3B3	143.1
MIR3654	1879.1
HSPA9	124.6
HSPA9	275.5
HSPA9	272.6
YWHAQ	796.9
DDX24	360.3
PPP2R1A	95.4
GSN	1148.6
HK1	131
KDELR2	345.2
KDELR2	350.2
KDELR2	474.6
NPC2	1056.5
DDX24	5.8
DYNLL1	668.2
LITAF	778.2
SNORA41	1491.5
LITAF	239.3
PRKCSH	10
GOT2	76.7
LOC101929368	684.4
ACADVL	218.2
SKP1	344.4
MAPRE1	156
MAPRE1	475
OS9	360.3
SNORD32A	1492.3
RPL13AP5	4031.4
RPL7	13266.5
SKP1	1478
SKP1	102.8
ACTR1A	113.6
ACTR1A	37.8
CAPRIN1	80.4
CAPRIN1	219.2
SNORA70	115.3
SNORA70	2423.4
PPP1CC	619.4
ACTR2	42.6
ACTR2	793.3
ACTR2	345.7
PTP4A1	184.9
PTP4A1	146.3
PTP4A1	447.9
PTP4A1	106.5
ARF3	26.3
NACA	2579.8
GPX1	749.8
PGK1	206.3
PGK1	866.1
SUMO3	137.4
SUMO3	291
RPS27	4148.9
TPP1	143.6
TPP1	410
GNB1	178.9
GNB1	174.8
GNB1	350.6
NUMA1	56.8
FTH1	6528.7
RAN	145.9
RAN	368.6
HNRNPC	334.5
CAPN1	66.4
MIR636	245.2
MIR636	819.2
CALU	79.2
CALU	72
CALU	511.6
NFE2L1	152.1
NFE2L1	461.4
ARL6IP5	403
ARL6IP5	1779.4
DPYSL2	784.8
RPLP1	3802.9
CTNNA1	237.8
CTNNA1	437
CTSD	93.6
FAM120A	91.5
MAT2A	1359.9
MAT2A	96.9
LAMC1	180.9
LAMC1	589.1
LOC100506248	1451.4
PTMA	992.5
FAM120A	577.5
HNRNPK	418.9
BZW1	249.1
BZW1	604.6
SEPT2	322.2
ATF4	1413.1
GNAS	1032.2
RPS15A	4802.9
ANXA5	899.7
STMN1	118.6
LRP1	25.9
LRP1	229.6
PSMB7	267.3
PEA15	110.1
PEA15	712.5
ECH1	178.9
ODC1	344.2
IQGAP1	331.6
XRCC6	632.4
ACO2	142.5
DAZAP2	1274.8
SPARCL1	2255.6
MCL1	16.1
MCL1	2097.5
MCL1	1318.5
HSPA1B	1305.8
HSPA1L	739.3
ACTB	10839.2
SARS	255.9
TMBIM6	562.7
TMBIM6	853.2
LMAN2	87.6
HSPD1	729.8
HSPD1	1166.8
ZYX	170
RPL12	3552.7
CIRBP	165.1
CIRBP	226
CCT7	59.8
PAFAH1B1	77.8
PSME1	387.3
PAFAH1B1	149.9
PAFAH1B1	228.6
RPS10	2235.6
ATP5O	549.1
RPS15	2334.3
PSMD8	148.5
LAMP2	171.9
TPI1	301.9
RPL29	1156.3
GSTP1	181.5
HYOU1	106.2
SNRPD2	382.3
PLOD1	105.6
ZNF207	318.7
ZNF207	361.1
PSMD2	223.1
SCD	24.1
SCD	108.5
RAP1B	720.7
RPS21	2451.3
MAP4	4.8
MAP4	30
BCAP31	131.2
CTSB	1043
CTSB	1810.3
KARS	1041.6
EPRS	22.8
EPRS	52
EPRS	151.5
PRDX6	392
PRDX6	556.5
PPP1CA	134.2
SARAF	923.4
AHCYL1	94.2
AHCYL1	232.2
AHCYL1	532.5
IST1	165.9
GNB2	169.2
H2AFZ	267.8
NCOR1	167
NCOR1	141.4
NCOR1	120.8
NCOR1	165.4
SNORD38B	597.9
FLNA	240.7
CNOT1	283.4
CNOT1	65.3
DHCR24	188.8
RAB11A	611.5
RAB11A	81.9
EIF3F	5
PSAP	803.4
RNF114	178.7
RNF114	156
SNORA68	4637.7
STRAP	418.7
PSAP	2284.2
S100A10	1028.5
CCT8	396.6
MIR1292	158.4
MIR1292	218.4
PSMB1	484.8
CCT4	507.9
EPAS1	982.8
EPAS1	18.5
DNAJA1	530.7
DNAJA1	763.7
PSMD4	223.9
UQCRC2	132.4
CKB	38.4
RHOC	163.1
PGAM1	387.7
STAT1	743.1
SNORA21	3243.8
SSR1	159.1
SSR1	66.2
SSR1	455.1
TRA2B	257
TRA2B	795.8
FKBP4	79.8
FKBP4	108.5
HDGF	74.7
PALLD	759.2
MGEA5	15.4
MGEA5	231.7
M6PR	72
M6PR	236.9
SEP15	570.6
AHCY	110.4
HLA-E	813.6
HLA-E	1283.5
PALLD	55.9
PALLD	379.3
RPLP2	191.6
SNORA52	2766.7
LOC101927137	177
TACC1	628.4
MIR1248	1905.9
PPM1G	11
KTN1	51.8
KTN1	244
TAGLN2	150.2
SRPRA	16.5
SRPRA	185
PHC2	340.9
BTG1	322.3
BTG1	1126.4
KDELR1	99.5
LGALS3BP	407.1
SLC3A2	71.2
COX6A1	382.8
RPS23	5184.4
RAB14	292.6
RAB14	26.2
TMED10	399.6
VCL	7.4
VCL	437.5
DCTN2	90.8
RPS4X	6525.9
DEK	316.2
CALR	34.8
RPL8	1172.3
RPL5	2564
RERE	4.4
RERE	2
RERE	195
HSBP1	396.2
HSBP1	359
HMGN1	635
LOC101927733	913.8
SEC31A	753
GLUD1	125.2
GLUD1	37.6
MLF2	82.9
SNORD54	2242.4
ARPC1A	171
CCND2	10.6
CCND2	39.7
CCND2	506.8
ATP6V0C	113.2
IMMT	360.6
SSRP1	108.3
SSRP1	70.4
SDCBP	1303.6
FUS	508.6
CLTA	430.7
SEPHS2	149.5
RPL31	104.4
RPL31	7146.4
UBA1	242.5
ABLIM1	234.7
ALDOA	177.1
PPIB	851.7
PPIB	648
SERP1	176.2
SERP1	181.1
SERP1	249.4
TSPAN3	396.5
TSPAN3	115.7
ACTA2	1128.7
PPT1	582.5
TAX1BP1	309.7
TAX1BP1	378.8
MDH1	380.6
PDHA1	50.2
PDHA1	118.8
GNAS	921.2
ANXA6	160.2
CD59	796.5
CD59	654.6
CD59	1381.7
SERPING1	800.1
PSME3	107.4
PSME3	4.4
HIF1A	1262.2
TRIM28	65
SNX17	21.8
IPO7	205.6
IPO7	150.6
IPO7	107.3
IPO7	93.9
ACTR3	462.2
RBM14-RBM4	79.3
CKAP4	187.4
CKAP4	374.5
AARS	267.9
TMEM189-UBE2V1	149
TMEM189-UBE2V1	180.3
TMEM189-UBE2V1	186.5
SSR4	692
CD9	252.1
PRDX2	64.8
HADHB	587
TXNIP	153.2
TXNIP	548.3
TXNIP	1467.1
RPN1	181.1
ANXA1	3264.7
PAICS	153.9
PAICS	53.5
JUP	17.8
EIF1AX	96.1
EIF1AX	89.9
EIF1AX	109.5
EIF1AX	127
YWHAH	318.9
DSTN	369.5
DSTN	1645.6
TAF7	122
EIF5B	285.2
EIF5B	61
EIF5B	102.8
EIF5B	102
CD99	286.4
CD99	476
LDHB	583.6
HNRNPH1	907.6
BLCAP	170.6
RPLP0	3189.5
ADD3	869.4
HADH	224.4
HADH	76.4
PFKP	83.6
ANP32A	102.2
RAD23A	93.5
GNAI2	87
DUSP1	5215.4
TGM2	250.7
ANP32A	8
DUSP1	191.3
WTH3DI	12.6
RAD23A	128.6
WTH3DI	409.6
WTH3DI	4.5
RPS18	2633.5
PLD3	143.1
ANP32A	210.7
PSMF1	39.4
PSMF1	127.8
HNRNPA0	429.9
HNRNPA0	161.2
GOLGB1	76.6
GOLGB1	237.5
MYL9	180.4
CTTN	255.4
STOM	659.3
STOM	1027.3
STOM	4.5
RCN1	507.3
LOC100996696	175.2
GTF2IP4	326
CYC1	11.9
PSMC2	73.2
PSMC2	513.6
MMP2	581.8
SF3B1	138.6
SF3B1	924.6
SMARCC1	104.8
SMARCC1	87.3
SMARCC1	115.6
SMARCC1	75.4
SNU13	108.2
SNU13	406.8
TM9SF2	463.4
SYNGR2	99.5
PIP4K2B	51.6
PIP4K2B	35
SLC4A5	17.2
BCLAF1	35.7
BCLAF1	536.4
SON	5
SON	572.5
PXN	201.4
KPNA2	226
ATP6V1B2	190
TUBA1B	1737.6
CBX3	121
RBBP7	362
SDHA	193.7
RPS29	4884.1
DAP	160.6
ARF4	577.1
ARF4	1189.7
COPB2	322.7
USP9X	187.5
USP9X	216.8
BCLAF1	20.1
PFKL	139.5
NBPF20	993.8
NBPF25P	521.8
LGALS1	2059
GPX4	525.7
THBS1	7.9
THBS1	200.5
THBS1	534.8
THBS1	1169.7
CSE1L	91
CSE1L	316.4
TUFM	180.9
PSMA7	341.5
POLD2	58.8
CPE	417.5
CPE	303.5
PGD	87.2
COX8A	385.3
PGRMC1	15.6
PGRMC1	587.7
EIF5A	180
EIF5A	38.6
ITGB5	125.8
ITGB5	243
MGAT1	45.2
ACLY	137.5
ACLY	306
SRSF7	331.2
CDH1	55.5
CDH1	10.4
RPL36A-HNRNPH2	145.5
PJA2	172.2
COX7C	559.8
ECHS1	270.4
PLP2	56.1
HLA-DPB1	1309.7
SSB	119.7
SSB	319.1
RAB5C	49
GPNMB	1337
EIF2S1	196.9
EIF2S1	103.6
EIF2S1	227.8
HAX1	173
NFE2L2	984.3
TIMP3	148.4
TIMP3	231.7
TIMP3	110.4
TIMP3	549.6
MBNL1	27.4
MBNL1	649.6
MBNL1	793.3
SNORD18C	3572.8
MFN2	78.6
RAB5C	71.9
NMT1	50.2
NMT1	9.3
NMT1	53.2
YBX3	796
YBX3	391.4
IGFBP7	1663.7
IGFBP7	3160.4
PUM1	113.8
PUM1	210.7
PUM1	385.5
ARHGDIA	37.7
ARHGDIA	75.5
BHLHE40	67.3
BHLHE40	633.6
ATP6V0E1	347.6
ATP6V0E1	1238.6
NUDC	155
TERF2IP	236.2
TMX2	169.9
ARCN1	127.2
UBA2	159.6
FBXO7	266.1
GNAI3	248.7
GNAI3	361.3
GNAI3	78.2
CHD4	65.4
CHD4	177.3
CHD4	122.7
HTRA1	522.9
LRPAP1	93.9
ITPR3	88.5
ITPR3	139.5
ITPR3	39.8
PITPNA	171.7
PITPNA	18.6
PITPNA	116.9
IDH1	310.9
SEPW1	289
SLC7A5	203.9
AMD1	78.2
AMD1	107.6
PSMD1	120.4
PSMD1	416.6
CREG1	498.4
CSTB	233.4
PCNA	133.9
RRBP1	35.7
RRBP1	114.2
RRBP1	114.2
RRBP1	113
TNFAIP1	190.6
TNFAIP1	39.3
HDAC1	134.9
DDX3X	651.9
DDX3X	37.8
LGMN	581.9
PPP1R7	125.2
PPP1R7	105.3
PLS3	865.4
ERP29	260.9
SNORD83B	7128.1
CTBP2	63.5
CTBP2	36.7
CTBP2	354.8
SNRNP70	304.6
RAD23B	193.6
RAD23B	277.4
SRRM1	93.5
SRRM1	232.9
NDUFB8	211.4
NDUFB8	225.8
ARIH2	86.7
ARIH2	4.8
ARIH2	66.8
ENO1	414.8
PSMD13	86.7
PSMD13	50
ILK	248
BTG2	54.9
BTG2	935.1
CAPZA2	494
CAPZA2	186
SPCS2	283.9
SPCS2	519.7
DDX1	197
ATP1B1	43.1
ATP1B1	403.8
RAF1	171.3
LOC101927673	106.8
LOC101927673	22
SREBF2	122.9
SREBF2	68.7
SLC2A1	17.7
SLC2A1	115.8
PKM	59.4
PSMC4	42.1
CDIPT	158.6
RPS6	3953.2
BAG6	171.4
COX7A2L	333.6
SNORD73A	11186.6
RPS16	1115.7
SYPL1	151.1
SYPL1	259.4
BGN	470.1
BGN	134
TARS	158.5
COPE	19.1
AF119897	42.2
TXNRD1	296
PSMC3	101.1
NME1-NME2	359
NUDCD3	34
NUDCD3	307.8
RALY	15.6
AKR1B1	345.4
SRP9	386.9
PSMA5	185
FDPS	71.8
RAB5B	214.3
HNRNPAB	258
LOC101926921	383.8
