X	GSM49571
MIR4640	551
RFC2	46.2
HSPA6	58
PAX8	287.2
GUCA1A	22.7
MIR5193	129.6
THRA	60.3
PTPN21	12
CCL5	135.7
CYP2E1	37.3
EPHB3	14.4
ESRRA	176.2
CYP2A6	113.6
GAS6	722.6
MMP14	192
TRADD	73.2
CHURC1-FNTB	9.8
PLD1	32.5
DTX2P1-UPK3BP1-PMS2P11	155.7
BAD	27.9
PRPF8	183.2
CAPNS1	104.3
RPL35	1185.2
MIR6805	6004.9
EIF4G2	3208
EIF3D	292
PARK7	1582.2
SRP14	928.6
GDI2	86.4
GDI2	840.7
RPL11	3644.1
ARF3	367.9
RPL21P28	5872.4
RPL24	3960
HNRNPC	591
SEPT2	1734.7
HNRNPA1P10	6030.1
RPS27A	6199
LOC100508408	6288.5
FAU	2393.1
TARDBP	597.9
CFL1	2053.1
RPL18	3647.4
EIF3F	1367.9
RPS5	2718.8
RPL27	7580.1
RPL34	8459.6
NARS	875
STARD7	270.3
RPL19	4698.5
SLC25A3	773.3
SNORD35B	8181.2
RPL9	5829.9
MIR5047	2702.2
RPL6	3692.7
CTDNEP1	159.1
RPL10A	1965.2
CBX3	2207.5
RPL17-C18orf32	5428.2
PSMB2	376.4
KHDRBS1	737.4
ATP6V1G2-DDX39B	497.3
RTCB	348.8
ERH	679.4
GATC	254.1
ABCF1	215
DAD1	304.4
YY1	869.5
JTB	649.1
KAT7	147.5
ZNF146	430.7
SART1	52.7
ILF2	188
SPAG7	283.8
ZPR1	154.5
TAF10	735.8
C1D	112.6
NONO	1358.1
LOC101929240	430.1
RHOA	589.7
RNPS1	323.8
RPS24	7735.9
RPL30	6704.3
NPM1	4436.7
HSP90AB1	1215.9
MIR3620	227.9
IK	190.2
SNX3	629.7
CANX	1699.3
SART3	85.6
CNPPD1	85.7
SMNDC1	368.9
HNRNPM	334.5
HNRNPD	527.6
RPL14	1440.3
GUK1	57.1
KXD1	185.6
OAZ1	1515.1
ATP6V0B	148.5
KARS	351.1
H3F3AP4	2389.1
RPS6	4132
RPS7	3888.4
USP22	398.2
C11orf58	740.8
TCEB2	273.4
COX4I1	1077
TMED2	1564.7
NBEAL1	5941.9
SNORD18C	5453.1
FNTA	900
RPS25	4221.1
RPL37	9486
HINT1	984
EEF2	1931.6
RPS10	7781.4
ATP6V0E1	435.2
HNRNPK	683.2
ANAPC5	365.5
SNORD73A	6377.1
HNRNPU	250
HNRNPU	793.4
EIF3A	754.1
EIF3A	57.6
EIF3A	149
MIR3652	45.6
MIR3652	2091.8
MSN	517.8
ACTN4	81.5
APP	996.5
PRKAR1A	1506.3
PRKAR1A	67.5
PRKAR1A	151
DSP	387.8
RAD21	45
RAD21	564.8
WDR1	386.2
NCL	722.1
WDR1	155.2
AP2B1	149.6
AP2M1	114.1
CLTC	1487.4
AP2B1	120.2
MLEC	8.1
MLEC	243.7
LASP1	411.6
SF3B2	140.8
TMEM59	699.7
CSRP1	434.4
CALM3	89.4
CALM3	158.4
SNHG4	517.3
CAP1	555.2
SNHG4	800.7
PTGES3	1508.9
WARS	29.8
WARS	284
SETSIP	379.5
SETSIP	769
NDRG1	581.1
UBB	4650.2
PFN1	546.2
PTPRF	75.3
PTPRF	1059.1
PTPRF	48.3
YWHAZ	409.9
YWHAZ	592.1
YWHAZ	498.4
YWHAZ	97.7
SOD1	576.4
HDLBP	126.7
MARCKSL1	421.5
GABARAP	468.8
NUCB1	28.1
EIF3CL	627.1
GLUL	59.1
NUCB1	74.4
LDHA	2202.7
SNORD96A	3257.9
SSR2	529.8
CALM3	146.4
P4HB	756.5
CALM3	965.7
P4HB	71
SLC25A5	968.1
PHB	58.3
PHB	40.6
S100A11	124.3
CTSA	50.9
TOMM20	1221.9
CD63	2174.4
DNAJB1	177.1
SPARC	2254.4
DNAJB1	321.9
UBE2D3	615.9
UBE2D3	529.4
UBE2D3	121.1
XBP1	220.8
SPTBN1	3.2
SPTBN1	46.1
LAPTM4A	1839.2
RPL32	5782.9
CD81	390.8
UBE2L3	7.8
PTTG1IP	1482.5
GRN	168.2
HMGB1	130.8
HMGB1	1481.2
GLO1	364.3
UBE2L3	102.3
UBE2L3	63.3
UBE2L3	23.3
SRSF11	196.9
SRSF11	1454.6
SF3B3	120.8
SF3B3	81
MIR3654	2546.4
HSPA9	15
HSPA9	561.1
HSPA9	168.5
YWHAQ	706.9
DDX24	265.1
PPP2R1A	65.7
GSN	604.7
HK1	101.7
KDELR2	459.6
KDELR2	501.8
KDELR2	339
NPC2	1164.1
DDX24	11
DYNLL1	1177.4
LITAF	446.7
SNORA41	3387.1
LITAF	26.8
PRKCSH	40.3
GOT2	169.4
LOC101929368	932.5
ACADVL	422.7
SKP1	635.3
MAPRE1	89.6
MAPRE1	638.4
OS9	423.1
SNORD32A	2773.2
RPL13AP5	6724.9
RPL7	9511.2
SKP1	2646.2
SKP1	122.5
ACTR1A	52.6
ACTR1A	43.2
CAPRIN1	45
CAPRIN1	188.9
SNORA70	62.2
SNORA70	2184.2
PPP1CC	817.6
ACTR2	83.2
ACTR2	374.6
ACTR2	109.6
PTP4A1	165.1
PTP4A1	284.4
PTP4A1	705.1
PTP4A1	560.8
ARF3	245.4
NACA	5333.3
GPX1	313.8
PGK1	128.7
PGK1	1100.7
SUMO3	44.5
SUMO3	525.3
RPS27	7348.6
TPP1	69.5
TPP1	336.1
GNB1	90.7
GNB1	56.4
GNB1	377.2
NUMA1	135.3
FTH1	2500.6
RAN	340.4
RAN	538.8
HNRNPC	53.1
CAPN1	21.9
MIR636	269
MIR636	1086.6
CALU	58.1
CALU	10.1
CALU	654.3
NFE2L1	174.7
NFE2L1	612.1
ARL6IP5	91.6
ARL6IP5	1309.5
DPYSL2	1044.1
RPLP1	7081.8
CTNNA1	161.6
CTNNA1	525
CTSD	55.2
FAM120A	31.4
MAT2A	1086.5
MAT2A	40.3
LAMC1	126.2
LAMC1	539
LOC100506248	458.7
PTMA	1891.3
FAM120A	480
HNRNPK	547
BZW1	119.8
BZW1	603.4
SEPT2	230.8
ATF4	1047.8
GNAS	1786.1
RPS15A	6553.7
ANXA5	637.2
STMN1	118.2
LRP1	14.6
LRP1	109
PSMB7	295.7
PEA15	86.7
PEA15	690.1
ECH1	145.2
ODC1	1355.8
IQGAP1	1438.3
XRCC6	588.6
ACO2	18.5
DAZAP2	774.6
SPARCL1	1738.5
MCL1	2.4
MCL1	2391.5
MCL1	647.7
HSPA1B	2513.1
HSPA1L	1258.8
ACTB	6952.8
SARS	209.2
TMBIM6	366.2
TMBIM6	912.3
LMAN2	138.8
HSPD1	153.8
HSPD1	2253.1
ZYX	101.7
RPL12	5986
CIRBP	412.6
CIRBP	384.1
CCT7	136.4
PAFAH1B1	35
PSME1	462.5
