X	covid	covid2	control	control2						
TSPAN6	3873	4172	4663	3788						
TNMD	0	0	0	0						
DPM1	2184	2337	1373	1498						
SCYL3	740	835	922	889						
C1orf112	750	882	180	201						
FGR	1	2	0	9						
CFH	4517	5005	6234	8134						
FUCA2	6970	7354	2809	3039						
GCLC	7410	7872	2807	2767						
NFYA	1367	1469	930	1115						
STPG1	912	853	523	463						
NIPAL3	4283	4297	3168	3864						
LAS1L	2243	2347	1123	1360						
ENPP4	2039	1880	1697	2103						
SEMA3F	1082	1274	3094	2458						
CFTR	237	256	1227	1649						
ANKIB1	1396	1273	621	716						
CYP51A1	24500	23639	7824	8715						
KRIT1	1069	1408	1149	1453						
RAD52	187	177	418	370						
MYH16	121	103	12	1						
BAD	3376	3299	2080	2355						
LAP3	6740	7637	2200	2343						
CD99	2254	2432	1636	1950						
PAR_Y_CD99	2254	2432	1636	1950						
HS3ST1	748	640	1161	1930						
AOC1	51	24	84	50						
WNT16	7	0	4	4						
HECW1	22	36	3	23						
MAD1L1	2473	2607	1048	1087						
LASP1	9494	9684	3610	5104						
SNX11	1315	1305	773	641						
TMEM176A	8	5	106	146						
M6PR	8391	8660	4189	5727						
KLHL13	272	239	299	329						
CYP26B1	40	10	16	35						
ICA1	2497	2579	1702	2059						
DBNDD1	2236	2228	659	861						
ALS2	1604	1440	856	1090						
CASP10	2417	2651	1397	1473						
CFLAR	13204	13579	6386	6617						
TFPI	13320	13363	17086	21592						
NDUFAF7	888	923	708	858						
RBM5	2946	3465	6165	6067						
MTMR7	27	35	23	15						
SLC7A2	41	27	56	113						
ARF5	4195	4353	3324	3050						
SARM1	333	379	588	667						
POLDIP2	10390	10615	4727	4934						
PLXND1	1083	1239	1632	2046						
AK2	7507	7834	6055	7217						
CD38	405	545	97	88						
FKBP4	4281	4250	3287	3710						
KDM1A	5831	6335	3526	4329						
RBM6	2794	2944	4067	4343						
CAMKK1	273	354	635	624						
RECQL	2958	3041	1284	1590						
VPS50	1496	1505	883	732						
HSPB6	45	33	511	404						
ARHGAP33	16	21	33	66						
