,GSM352329.CEL,GSM352330.CEL,GSM352331.CEL
1007_s_at,1782.51191207633,1230.80264277266,1356.92377506877
1053_at,137.291628197651,105.416538285859,181.438722960504
117_at,31.7277298843018,24.8538009761938,28.5199656061041
121_at,342.400139851797,194.001680200319,199.484487162573
1255_g_at,6.61270016346592,3.66330597149689,1.30950867475524
1294_at,259.309122668781,194.721106966011,192.188354771402
1316_at,31.8310433081451,32.5292881030115,32.2468347940067
1320_at,163.060641512868,93.5786662412382,127.726537650466
1405_i_at,0.632351599058725,0.792083660209799,0.949337204396808
1431_at,15.4094643699573,6.1497641228164,12.3917011896231
1438_at,4.35184508289216,5.75760588980721,2.410710740925
1487_at,239.438730519951,275.729615637084,334.125163032299
1494_f_at,53.4914732312581,34.636827933299,31.1098430113356
1598_g_at,6020.74867742272,4804.15188956016,4600.19925549073
160020_at,1655.69311591491,445.35933250279,512.564339531104
1729_at,523.483380720783,859.421559432662,795.809212247176
177_at,161.752898364182,186.218840324335,172.738103923461
1773_at,134.612127056558,92.3776698917336,132.196416193252
179_at,465.87020534045,152.291837861333,217.682068787269
1861_at,493.526874521791,442.835955584167,542.645939066108
200000_s_at,1738.23873446924,1779.23355458685,1815.76166685264
200001_at,9556.30343324117,5735.76622091889,6526.68075378836
200002_at,14961.9492158902,11809.385744742,10159.0929106389
200003_s_at,15538.0234564114,13620.7335692083,11875.6434185882
200004_at,9984.38878615604,8985.51071606198,8112.27113645083
200005_at,4159.61196233634,3783.12280013571,3957.97996665816
200006_at,6194.78442991934,6999.75554328527,6413.43484679668
200007_at,8593.88754112547,6809.17734745701,6544.02811124375
200008_s_at,3095.5423740341,2120.66417060296,2418.16576736052
200009_at,5401.57461263541,5254.02040684022,4924.22345799275
200010_at,12698.3323966946,9798.54576035869,8546.59059978102
200011_s_at,2365.95359584872,2427.95802170807,2276.84203815723
200012_x_at,17238.5787133429,11237.6922957031,9002.91960170862
200013_at,12610.9779889973,11485.3416859014,10433.5210408719
200014_s_at,1446.46387730093,2034.17846333446,1713.46195917348
200015_s_at,6998.98792854466,7468.00268741238,6233.10637370568
200016_x_at,10228.736598523,9075.38232270612,8844.10472508406
200017_at,14465.4206274647,11676.1663805721,10481.0131402231
200018_at,14922.5835650651,12373.6043359873,10856.6363156177
200019_s_at,12482.0853370171,10260.2191559741,9388.39619741933
200020_at,2623.11397621149,2577.5868516412,2387.02640068673
200021_at,19803.3478642453,12680.847895939,10345.1777592901
200022_at,14552.1510938702,12073.1259542259,10611.4096167179
200023_s_at,6581.25140571727,5712.27041333227,5770.55826150013
200024_at,15626.2827994506,10421.0459758084,8867.04654157567
200025_s_at,15460.2439577339,12274.7966616015,10862.3248449573
200026_at,16450.3050109248,13170.2998810762,10737.0510966
200027_at,4133.19252489345,4641.64330884918,4683.01321725883
200028_s_at,2054.44745808155,2328.38394577132,2099.04050719355
200029_at,15903.6988878511,12427.3784818295,10899.6024067332
200030_s_at,12259.0073051706,9516.37608763507,8449.70418238481
200031_s_at,15658.2137399143,12810.4732630772,10933.7624762864
200032_s_at,13831.1814429292,11700.9216107237,10510.4666864388
200033_at,5926.11594516603,5792.22491341695,5111.02594675567
200034_s_at,11349.7143980135,9714.90269484746,8663.10460538216
200035_at,1501.50020828637,794.022749441732,1150.62087957666
200036_s_at,8199.9070592921,8002.80964870116,7326.15358691106
200037_s_at,1603.30399449771,2176.48634617811,1953.58536123586
200038_s_at,15075.204538149,12657.820039359,11063.7458171771
200039_s_at,3895.96574170516,3630.28580244725,3518.11410393459
200040_at,2863.09408666458,2959.55092533869,3357.84909432312
200041_s_at,3489.33952030081,2144.8674760913,2309.78322277308
200042_at,1539.73668311644,1734.1528668888,1468.06991909727
200043_at,4293.05366225872,4921.12956885345,5216.22934090067
200044_at,2063.36880203354,1695.58813247824,2227.93490694948
200045_at,1555.015165079,1528.13041822217,1444.21522319699
200046_at,4743.1122636992,4742.83450509332,4765.74347508482
200047_s_at,2323.01470481373,2850.29343558444,2258.40864805097
200048_s_at,4157.84095167283,3712.19902849561,3713.07445629036
200049_at,509.884571679956,558.970796210088,610.846150208428
200050_at,768.980820138449,835.286563767732,958.155472199702
200051_at,316.702127165592,298.047968436523,297.698560425323
200052_s_at,1630.83785683263,1760.79580942473,1731.65731132318
200053_at,1643.35999444263,1041.19437922471,1097.98482592759
200054_at,710.948627109819,930.671703274442,800.832048069123
200055_at,3546.3931325278,2285.32445233447,2906.11750835507
200056_s_at,329.05199513684,636.17880712103,573.61012962972
200057_s_at,5695.21158220151,4779.93375933109,4873.51842960902
200058_s_at,1715.18806778188,1467.85623793162,1805.04139095534
200059_s_at,9280.64258213056,9679.54345603307,9120.90571048065
200060_s_at,1824.84317455621,1857.42269140393,1956.61429180373
200061_s_at,16061.4922270249,12614.456684953,10421.7328308373
200062_s_at,18075.4978471147,13482.572359706,12030.1534195068
200063_s_at,10078.9584452333,9905.49157950953,8536.95111022559
200064_at,11084.404498796,8236.41187947049,7677.3648095044
200065_s_at,6046.99202925447,6188.3289461325,6070.56997855589
200066_at,674.958396239123,767.081930789841,778.323085962925
200067_x_at,2747.72378654517,3662.80643073751,3194.34709093669
200068_s_at,7966.27145633754,6959.72177194847,6308.0550422578
200069_at,133.346361131191,178.188900434742,176.780902738779
200070_at,823.761438073405,656.201241875677,772.439179687227
200071_at,1042.46660465751,1594.27027553003,1445.77966803582
200072_s_at,2474.54267849113,2309.90606450408,2373.65549558397
200073_s_at,972.137296411899,1410.89789973183,1536.95878075733
200074_s_at,8873.03748713367,7994.25890520294,7709.68084770585
200075_s_at,2954.02461228165,2847.74282574439,3165.93624544699
200076_s_at,828.902573062695,911.230674435147,1012.66613567973
200077_s_at,14748.5310788904,11551.1403813209,9503.3420421163
200078_s_at,3551.17220993442,3191.96573373687,3265.72430553864
200079_s_at,3004.84938787602,2857.218721509,3124.00751915436
200080_s_at,6066.2197815922,7003.40536396659,6563.67872713332
200081_s_at,17222.316207445,12713.2667161784,11282.1829831828
200082_s_at,15063.9012434189,10437.9124759109,9565.94175421138
200083_at,2580.19035201347,2627.05383427082,2661.92291407112
200084_at,2070.81162222949,2518.1781671696,2427.61017016306
200085_s_at,4973.8809591363,4919.34164079088,4601.86173036646
200086_s_at,4600.36818378385,4786.88153943638,4709.10058300488
200087_s_at,4752.27664882098,4727.29627532401,4406.71591649381
200088_x_at,16104.2533188025,12548.3725085586,10794.9083768289
200089_s_at,9125.15312038942,8584.23308974603,8106.44879213538
200090_at,2724.4973675381,3407.18726066782,2700.82559006159
200091_s_at,6341.50217234333,5756.95369375857,6381.70449517659
200092_s_at,10441.3428828641,9870.46076348927,9545.090311126
200093_s_at,5452.27194755605,5445.57382102102,4958.73151961654
200094_s_at,18064.5408596175,9598.76505309959,10506.6966793769
200095_x_at,26822.6024448141,17074.6732836775,13783.2731966679
200096_s_at,6412.85296100739,6726.5135870886,6777.26391056027
200097_s_at,3971.11019795621,4045.6707202765,3970.33355522486
200098_s_at,1831.76191115201,2269.88419888369,2039.86409615372
200099_s_at,17293.8104857455,14351.9392154874,12637.5481563207
200593_s_at,1737.31969314203,1272.71444179162,1598.32925244074
200594_x_at,2736.84200326464,2756.34694675167,3030.19475807107
200595_s_at,2357.92518043027,3399.72925435846,3203.84082600032
200596_s_at,2857.17407709598,3182.57587468427,2777.51891314824
200597_at,285.202478005469,241.816023655043,323.696107029608
200598_s_at,2870.70837774539,3071.13804581612,2994.35961653761
200599_s_at,7833.6523072033,6656.02399946086,6290.91994444026
200600_at,3722.7206029508,3944.32084063331,4184.84110574517
200601_at,3307.23130710229,3009.40829271344,3911.11521853573
200602_at,1371.13277666549,1872.78438042555,1883.4498038006
200603_at,1890.94685093574,2235.65785718699,2641.52956575137
200604_s_at,3827.78837496866,2276.49336057874,2520.21086634737
200605_s_at,3528.12211774321,3381.56240922788,3483.96249610388
200606_at,2.58036762965453,6.83494286649552,6.79908793696436
200607_s_at,632.012924427333,754.613475047079,695.91175912858
200608_s_at,656.658915982903,951.337607542806,1034.91765366015
200609_s_at,6041.39757280704,5615.61782650088,5070.67306525988
200610_s_at,4410.01490273519,4850.13092022853,4571.79556430696
200611_s_at,8367.71983170662,6226.7886496152,6247.26063651744
200612_s_at,1307.27874807093,900.450846785115,849.086566321441
200613_at,7173.47547386946,6516.05188749644,6088.86395754784
200614_at,12513.0722603955,10145.194955514,9100.74091735692
200615_s_at,1499.618605452,1082.75024558181,1212.1242455121
200616_s_at,1443.37150297376,1544.42335183292,1645.99364896489
200617_at,1782.64645403304,1648.63060000442,1406.62925006954
200618_at,4818.67425510927,4818.29225332465,5888.91912573376
200619_at,2000.88929344287,1782.59607148714,2025.59884156355
