"","logFC","logCPM","F","PValue","FDR"
"204848_x_at",-5.06745266853484,3.3075549965223,317.340995058082,3.07221864936399e-23,6.84582481637777e-19
"205478_at",-5.43927132119473,2.50990058880753,272.213250087518,8.11784094314939e-22,9.0444924868099e-18
"211696_x_at",-5.46188697815039,8.71898062481397,242.617879356067,9.02026194034918e-21,6.69994989389336e-17
"217232_x_at",-5.49951340761891,8.3110532415671,210.523018432101,1.64812535155809e-19,9.18129430219222e-16
"217414_x_at",-6.67016171697009,7.11446196611516,159.565277882781,3.83350399743432e-17,1.70843939149658e-13
"207092_at",-4.26676598633731,2.83986790140717,155.134809941125,6.54870823433619e-17,2.43208109309522e-13
"203549_s_at",-3.80363856996775,6.11024046186944,144.834104451183,2.38262799952771e-16,7.02040633418718e-13
"203296_s_at",-3.55241098913456,3.82888996293022,144.39765521488,2.5204528417851e-16,7.02040633418718e-13
"211745_x_at",-4.82314611284486,7.76845745556755,139.022257879334,5.09207402191999e-16,1.26074094922715e-12
"209458_x_at",-4.58500773975739,7.57905805864073,137.961415108285,5.86414660455455e-16,1.30670778789289e-12
"204151_x_at",-3.00674529542745,5.8752401286295,131.939952284743,1.32731249558926e-15,2.68877312174686e-12
"219398_at",-2.90933673369734,4.8787706067119,123.591527355655,4.31514349052121e-15,8.01286186660701e-12
"209116_x_at",-6.17989907062198,7.97008360404159,112.141403923405,2.39514002953377e-14,4.10545425216162e-11
"204018_x_at",-4.89522206711489,7.57131290920831,105.103809437173,7.3069268101507e-14,1.09700330061053e-10
"219563_at",-2.59687830081001,4.44655822648788,105.038616144971,7.38457546522367e-14,1.09700330061053e-10
"214414_x_at",-5.06268976262535,7.92211777277835,103.329564171946,9.75836910142715e-14,1.35903586679438e-10
"209699_x_at",-3.23209683165004,5.20559930822912,102.349656807965,1.1465761972514e-13,1.50289161196194e-10
"205913_at",-4.02475472859577,4.82516845665876,96.2652276686057,3.19677532772879e-13,3.95743025709892e-10
"203548_s_at",-5.18499991404536,4.85161088338976,88.4789822558498,1.26725715678456e-12,1.48622585392791e-09
"209686_at",-3.20050125115065,2.43966762165878,87.2997478055217,1.57191586395442e-12,1.6370623274436e-09
"211699_x_at",-4.98885073554377,7.27287262869436,87.2684164496414,1.5809800105205e-12,1.6370623274436e-09
"207175_at",-4.68622930922876,5.99207006675086,87.1481834423395,1.61627120243051e-12,1.6370623274436e-09
"204419_x_at",-3.36721741211406,4.07792497778554,84.8139067739249,2.4910046500848e-12,2.41335028773216e-09
"206488_s_at",-4.27419866010546,6.43875514673315,81.3424308640091,4.80812999670653e-12,4.46414836319215e-09
"213515_x_at",-2.50308292819189,4.81423697034505,80.2962395377606,5.88245176523879e-12,5.17932654425320e-09
"203980_at",-5.08024169958655,8.06521525777345,80.1569516091199,6.04328367592259e-12,5.17932654425320e-09
"211653_x_at",-3.13467452616639,4.60167191047191,79.911784472014,6.33758075021251e-12,5.23038192062909e-09
"208510_s_at",-3.34893536788037,2.85329077808801,78.9402749397203,7.65855813602582e-12,6.09484467660941e-09
"203680_at",-3.4825595930368,4.86785392800952,77.1074278169578,1.09902128448758e-11,8.44465216628852e-09
"206384_at",-2.52690752942878,1.52924092703815,75.2162962518211,1.60432929490498e-11,1.19164232261226e-08
"219295_s_at",-2.60866966252357,4.53544802101644,73.1364708849809,2.44865238992302e-11,1.76010713563402e-08
"214063_s_at",-3.24182878805307,3.59630385189177,71.2039326926986,3.65108701960349e-11,2.54241162680702e-08
"206243_at",-3.77228954721397,3.11177636458303,70.7435776262077,4.01946639826143e-11,2.71411423492302e-08
"214370_at",-4.35449132417065,2.85689621405077,69.0071265926225,5.79581691981422e-11,3.79847613012413e-08
"216594_x_at",-2.15642006749357,5.36278144736714,67.9107192345579,7.32323385728994e-11,4.66238914405691e-08
"213350_at",-2.02314214399407,5.85567167839177,63.0894297211904,2.10489289904595e-10,1.30287023526225e-07
"209555_s_at",-3.64854393145557,5.30986437989354,58.8094396682363,5.59026956284939e-10,3.29868062514489e-07
"218087_s_at",-4.34606560684202,3.84726379546346,58.7825660702922,5.62535851346345e-10,3.29868062514489e-07
"213706_at",-2.67754981174386,2.62671163278477,58.5710069946617,5.90972441029693e-10,3.37657407781145e-07
"212776_s_at",3.61602038864655,4.16073971246305,58.1996438409591,6.44564090796698e-10,3.59070540880571e-07
"213071_at",-3.44251884585368,4.43313868730234,57.8536913718807,6.9904575917791e-10,3.79922845164911e-07
"204894_s_at",-2.51798666083451,5.01824513577955,56.6602539024246,9.26771620771186e-10,4.91696476801056e-07
"215182_x_at",-2.2301897382629,5.31810857436168,56.021025792388,1.07932244300554e-09,5.59314930174244e-07
"221275_s_at",-2.18436034344124,1.57583206826911,55.4427752348265,1.23985976577925e-09,6.2790443547407e-07
"201062_at",-2.32891933063651,0.525573370975131,54.7442434164655,1.46749642292664e-09,7.26671617601649e-07
"214091_s_at",-2.15481548402216,5.54377221949173,54.3531433654052,1.61355588723675e-09,7.81627518158618e-07
"201525_at",-2.90711879864381,5.62495195386978,53.4813969923392,1.99622805046661e-09,9.27751208026769e-07
"212741_at",-2.64415012632622,4.92962041540081,53.4768053693918,1.99847677535722e-09,9.27751208026769e-07
"221295_at",-2.54506138377827,3.00898802131928,52.6118903263839,2.47288915300512e-09,1.12455895911047e-06
"213835_x_at",-1.44073815739262,5.66128293580867,52.1879056095676,2.74692268436143e-09,1.22419356351251e-06
"206834_at",-2.53328357762661,3.59118285529141,52.081779107846,2.82034084298569e-09,1.23226774518138e-06
"205874_at",-1.92068235994381,1.33158181713281,51.2985179604533,3.42948779631534e-09,1.46960147240951e-06
"217968_at",1.93058973754243,4.57123348666259,49.6646217651458,5.18325528230284e-09,2.17921655576517e-06
"221796_at",-3.22743521624888,4.07531976752696,49.5695563023954,5.31046888419954e-09,2.1913551508633e-06
"217074_at",-2.75049838247226,2.88721099035295,49.3796635801925,5.57440227088761e-09,2.24484003349127e-06
"209918_at",-2.36386448788891,2.99329157362901,49.3274037275245,5.64940878313811e-09,2.24484003349127e-06
"205593_s_at",-2.0611253870291,1.60398404287628,49.2636685691993,5.742309469506e-09,2.24484003349127e-06
"208145_at",-2.22833265335679,1.5118673011735,47.9983202788273,7.95619332061459e-09,3.05668716833198e-06
"218496_at",3.3483706219003,4.27985667287203,47.7452374704457,8.49686238746071e-09,3.20907770474215e-06
"206555_s_at",3.058102706527,4.3163998139547,47.4125989611319,9.26626344883546e-09,3.43120840665061e-06
"207030_s_at",-1.84943933792194,5.04417418471681,47.3605858274559,9.39297728338586e-09,3.43120840665061e-06
"209057_x_at",-1.74857426604291,6.21376260670547,47.0781653574968,1.0113208257079e-08,3.63471967084663e-06
"212322_at",1.53788583669254,5.87880517225984,46.560604284892,1.15862228080149e-08,4.09802861636501e-06
"221928_at",-2.09689627016557,4.24607719937474,46.254925687029,1.25595587176026e-08,4.33061605716014e-06
"204356_at",-1.87684847096056,1.93877548012218,46.2330197197902,1.2632502074021e-08,4.33061605716014e-06
"201348_at",-2.32488778743599,5.92413793928229,46.1643664123346,1.28639767771673e-08,4.34315143220634e-06
"209559_at",-2.17034313559342,2.18795665958247,45.8295862504307,1.40576931693469e-08,4.67533696854562e-06
"209842_at",-1.76123185852274,2.54723414153012,45.0416958424829,1.73448373994958e-08,5.68375017313182e-06
"216275_at",-2.04719869751838,2.29244404408886,44.8945131287167,1.80428402021922e-08,5.82679142355723e-06
"208795_s_at",1.57460668701006,5.18120060330665,44.5436283106006,1.98274220503021e-08,6.31163493638402e-06
"217683_at",-1.81111116000445,1.77774051435117,43.72434597276,2.47473402431235e-08,7.76683074137352e-06
"214341_at",-2.24988289532269,2.19184194711782,43.4380323507042,2.67532594732831e-08,8.27976223393288e-06
"216876_s_at",-2.17147402718368,0.432070213640395,43.0109907175752,3.00651867013262e-08,9.17729527761165e-06
