X	control_1h	exposed_1h	exposed_1h
AFFX-BioB-5_at	130.8	118.5	118.5
AFFX-BioB-M_at	213.8	240.8	240.8
AFFX-BioB-3_at	120.0	102.3	102.3
AFFX-BioC-5_at	362.6	304.4	304.4
AFFX-BioC-3_at	381.3	301.2	301.2
AFFX-BioDn-5_at	542.3	509.4	509.4
AFFX-BioDn-3_at	2364.2	2089.6	2089.6
AFFX-CreX-5_at	5128.6	4342.3	4342.3
AFFX-CreX-3_at	8161.5	6056.3	6056.3
AFFX-DapX-5_at	2.6	4.1	4.1
AFFX-DapX-M_at	9.3	2.2	2.2
AFFX-DapX-3_at	5.5	1.7	1.7
AFFX-LysX-5_at	3.2	5.6	5.6
AFFX-LysX-M_at	9.6	3.2	3.2
AFFX-LysX-3_at	1.8	5.8	5.8
AFFX-PheX-5_at	3.5	0.8	0.8
AFFX-PheX-M_at	3.2	0.5	0.5
AFFX-PheX-3_at	7.0	3.3	3.3
AFFX-ThrX-5_at	5.2	3.7	3.7
AFFX-ThrX-M_at	3.5	2.4	2.4
AFFX-ThrX-3_at	7.2	1.6	1.6
AFFX-TrpnX-5_at	3.8	7.6	7.6
AFFX-TrpnX-M_at	10.3	1.5	1.5
AFFX-TrpnX-3_at	12.6	6.9	6.9
AFFX-r2-Ec-bioB-5_at	175.2	145.7	145.7
AFFX-r2-Ec-bioB-M_at	309.4	215.7	215.7
AFFX-r2-Ec-bioB-3_at	167.9	116.2	116.2
AFFX-r2-Ec-bioC-5_at	429.5	388.2	388.2
AFFX-r2-Ec-bioC-3_at	584.3	429.7	429.7
AFFX-r2-Ec-bioD-5_at	2366.3	1882.0	1882.0
AFFX-r2-Ec-bioD-3_at	2536.9	1899.4	1899.4
AFFX-r2-P1-cre-5_at	11853.2	7881.4	7881.4
AFFX-r2-P1-cre-3_at	12013.3	7494.1	7494.1
AFFX-r2-Bs-dap-5_at	3.4	1.0	1.0
AFFX-r2-Bs-dap-M_at	11.8	3.5	3.5
AFFX-r2-Bs-dap-3_at	0.8	0.8	0.8
AFFX-r2-Bs-lys-5_at	1.2	1.0	1.0
AFFX-r2-Bs-lys-M_at	14.3	5.1	5.1
AFFX-r2-Bs-lys-3_at	2.4	0.9	0.9
AFFX-r2-Bs-phe-5_at	13.4	7.4	7.4
AFFX-r2-Bs-phe-M_at	11.8	0.8	0.8
AFFX-r2-Bs-phe-3_at	19.9	21.3	21.3
AFFX-r2-Bs-thr-3_s_at	2.1	1.5	1.5
AFFX-r2-Bs-thr-M_s_at	6.2	14.8	14.8
AFFX-r2-Bs-thr-5_s_at	11.4	8.9	8.9
AFFX-HUMISGF3A/M97935_5_at	83.0	126.6	126.6
AFFX-HUMISGF3A/M97935_MA_at	270.5	396.6	396.6
AFFX-HUMISGF3A/M97935_MB_at	266.3	325.3	325.3
AFFX-HUMISGF3A/M97935_3_at	952.8	759.8	759.8
AFFX-HUMRGE/M10098_5_at	14.4	7.9	7.9
AFFX-HUMRGE/M10098_M_at	5.4	17.4	17.4
AFFX-HUMRGE/M10098_3_at	32.9	20.5	20.5
AFFX-HUMGAPDH/M33197_5_at	10034.0	8593.9	8593.9
AFFX-HUMGAPDH/M33197_M_at	10543.3	8237.6	8237.6
AFFX-HUMGAPDH/M33197_3_at	10048.3	7363.4	7363.4
AFFX-HSAC07/X00351_5_at	6408.3	7268.2	7268.2
AFFX-HSAC07/X00351_M_at	9503.3	8174.8	8174.8
AFFX-HSAC07/X00351_3_at	9011.0	7009.4	7009.4
AFFX-M27830_5_at	95.1	149.0	149.0
AFFX-M27830_M_at	227.1	545.7	545.7
AFFX-M27830_3_at	13.4	6.3	6.3
AFFX-hum_alu_at	11041.1	7859.2	7859.2
1007_s_at	388.9	375.6	375.6
1053_at	335.6	313.6	313.6
117_at	19.0	9.7	9.7
121_at	168.8	115.0	115.0
1255_g_at	9.6	1.9	1.9
1294_at	147.8	105.9	105.9
1316_at	18.5	10.2	10.2
1320_at	42.3	46.4	46.4
1405_i_at	31.8	31.6	31.6
1431_at	13.7	9.0	9.0
1438_at	23.5	34.1	34.1
1487_at	118.9	154.3	154.3
1494_f_at	29.3	34.3	34.3
1598_g_at	508.1	414.6	414.6
160020_at	144.8	210.8	210.8
1729_at	152.1	136.4	136.4
1773_at	64.9	96.5	96.5
177_at	15.9	20.0	20.0
179_at	160.4	114.0	114.0
1861_at	171.3	189.9	189.9
200000_s_at	1644.4	1466.1	1466.1
200001_at	2529.5	3127.8	3127.8
200002_at	6864.0	5817.6	5817.6
200003_s_at	8231.6	6643.6	6643.6
200004_at	4530.8	4020.6	4020.6
200005_at	1233.7	1208.9	1208.9
200006_at	3392.4	2984.3	2984.3
200007_at	2938.0	2922.3	2922.3
200008_s_at	942.9	1192.0	1192.0
200009_at	2295.7	2426.4	2426.4
200010_at	5300.6	4866.2	4866.2
200011_s_at	802.9	876.8	876.8
200012_x_at	8433.4	5973.7	5973.7
200013_at	5535.1	5125.9	5125.9
200014_s_at	1341.9	1080.3	1080.3
200015_s_at	2183.5	1818.8	1818.8
200016_x_at	5224.3	5045.3	5045.3
200017_at	4899.5	5396.7	5396.7
200018_at	6950.1	6067.8	6067.8
200019_s_at	6418.8	5532.0	5532.0
200020_at	1310.0	1253.8	1253.8
200021_at	8682.2	6704.0	6704.0
200022_at	6597.9	5955.5	5955.5
200023_s_at	2862.3	2590.2	2590.2
200024_at	6034.5	3735.3	3735.3
200025_s_at	4808.8	4539.7	4539.7
200026_at	5694.3	5717.0	5717.0
200027_at	1892.2	1620.4	1620.4
200028_s_at	1700.4	1431.5	1431.5
200029_at	4680.3	4643.1	4643.1
200030_s_at	4333.0	3984.6	3984.6
200031_s_at	8179.6	6963.4	6963.4
200032_s_at	7202.4	6386.7	6386.7
200033_at	3101.3	2682.4	2682.4
200034_s_at	5040.1	4370.8	4370.8
200035_at	812.7	603.2	603.2
200036_s_at	3645.0	3273.9	3273.9
200037_s_at	1777.0	1579.6	1579.6
200038_s_at	6667.9	5416.6	5416.6
200039_s_at	2173.0	2209.7	2209.7
200040_at	2354.7	2664.3	2664.3
200041_s_at	3229.9	3518.1	3518.1
200042_at	860.0	792.2	792.2
200043_at	3862.7	3739.8	3739.8
200044_at	1328.1	1656.7	1656.7
200045_at	926.7	851.5	851.5
200046_at	1563.7	1319.4	1319.4
200047_s_at	1512.7	1402.9	1402.9
200048_s_at	1296.5	1503.4	1503.4
200049_at	274.9	319.6	319.6
200050_at	770.7	596.5	596.5
200051_at	191.0	194.1	194.1
200052_s_at	1209.1	1074.1	1074.1
200053_at	279.0	312.3	312.3
200054_at	294.8	247.8	247.8
200055_at	1277.5	1589.2	1589.2
200056_s_at	258.0	195.6	195.6
200057_s_at	3337.2	3292.4	3292.4
200058_s_at	1561.7	1432.2	1432.2
200059_s_at	5257.8	4159.0	4159.0
200060_s_at	1986.1	1775.9	1775.9
200061_s_at	6722.1	5934.3	5934.3
200062_s_at	7984.8	7049.1	7049.1
200063_s_at	5006.3	4705.0	4705.0
200064_at	6069.7	5223.4	5223.4
200065_s_at	2636.0	3086.8	3086.8
200066_at	724.0	770.1	770.1
200067_x_at	1092.3	1140.6	1140.6
200068_s_at	3514.5	3327.1	3327.1
200069_at	164.1	139.9	139.9
200070_at	368.8	247.3	247.3
200071_at	869.9	808.9	808.9
200072_s_at	2768.9	2240.5	2240.5
200073_s_at	2014.0	1917.1	1917.1
200074_s_at	3755.0	3774.0	3774.0
200075_s_at	883.2	894.6	894.6
200076_s_at	450.2	504.6	504.6
200077_s_at	5610.6	4923.1	4923.1
200078_s_at	1190.8	1001.7	1001.7
200079_s_at	2116.7	2158.3	2158.3
200080_s_at	3057.6	3513.2	3513.2
200081_s_at	6221.6	5499.5	5499.5
200082_s_at	6102.8	5396.9	5396.9
200083_at	1908.7	1920.2	1920.2
200084_at	1529.3	1524.9	1524.9
200085_s_at	2422.5	2355.3	2355.3
200086_s_at	1263.2	1180.7	1180.7
200087_s_at	1844.7	1658.5	1658.5
200088_x_at	7006.2	5450.4	5450.4
200089_s_at	3594.1	3147.9	3147.9
200090_at	1147.2	1090.8	1090.8
200091_s_at	2771.6	2339.1	2339.1
200092_s_at	6333.6	6067.5	6067.5
200093_s_at	2083.7	2009.0	2009.0
