,cc01-20covid1,cc01-20covid2,cc01-20mock2,cc01-20mock1,cc03-19covid,cc03-19mock,cc03-20covid1,cc03-20covid2,cc03-20mock1,cc03-20mock2
TSPAN6,3873,4172,4663,3788,5537,3098,5946,6132,7271,6810
TNMD,0,0,0,0,2,7,0,0,0,1
DPM1,2184,2337,1373,1498,1902,2099,1823,1717,1858,1708
SCYL3,740,835,922,889,1073,634,690,801,1442,1102
C1orf112,750,882,180,201,430,492,419,533,355,230
FGR,1,2,0,9,6,14,0,0,6,18
CFH,4517,5005,6234,8134,5791,5160,3567,3534,5293,4913
FUCA2,6970,7354,2809,3039,4633,6327,3608,3855,2577,2519
GCLC,7410,7872,2807,2767,3785,9179,1710,1851,5218,4678
NFYA,1367,1469,930,1115,1358,1117,1193,1071,796,832
STPG1,912,853,523,463,611,804,724,945,952,820
NIPAL3,4283,4297,3168,3864,3778,4535,5402,6226,4204,3368
LAS1L,2243,2347,1123,1360,1499,2379,1767,1766,1885,1784
ENPP4,2039,1880,1697,2103,1267,803,343,311,508,482
SEMA3F,1082,1274,3094,2458,4072,4569,4292,4729,4950,5014
CFTR,237,256,1227,1649,270,224,103,114,422,324
ANKIB1,1396,1273,621,716,958,973,1280,1151,861,832
CYP51A1,24500,23639,7824,8715,11707,14020,20936,21570,6367,5813
KRIT1,1069,1408,1149,1453,908,1068,879,1072,1328,1249
RAD52,187,177,418,370,201,146,116,136,330,314
MYH16,121,103,12,1,33,46,662,677,9,0
BAD,3376,3299,2080,2355,2452,2405,2545,2579,2425,2438
LAP3,6740,7637,2200,2343,8239,3293,4686,3855,2620,2564
CD99,2254,2432,1636,1950,2422,3310,3230,3056,2446,2378
PAR_Y_CD99,2254,2432,1636,1950,2422,3310,3230,3056,2446,2378
HS3ST1,748,640,1161,1930,2940,2545,1707,2014,2968,2772
AOC1,51,24,84,50,396,223,83,110,9,12
WNT16,7,0,4,4,15,94,9,18,0,9
HECW1,22,36,3,23,11,32,21,0,10,5
MAD1L1,2473,2607,1048,1087,2092,2256,1745,1647,1405,1454
LASP1,9494,9684,3610,5104,8237,8464,8227,7696,4015,4079
SNX11,1315,1305,773,641,1392,1177,1587,1598,994,1004
TMEM176A,8,5,106,146,115,15,1,3,14,17
M6PR,8391,8660,4189,5727,6483,7791,6281,6358,7299,6765
KLHL13,272,239,299,329,104,403,373,392,944,907
CYP26B1,40,10,16,35,112,64,99,153,16,29
ICA1,2497,2579,1702,2059,1093,862,1035,1011,1071,1186
DBNDD1,2236,2228,659,861,1305,1660,1140,1055,905,792
ALS2,1604,1440,856,1090,1085,1311,1087,1122,918,913
CASP10,2417,2651,1397,1473,1376,1020,1200,1202,1153,1024
CFLAR,13204,13579,6386,6617,9354,4391,6530,6224,5214,4941
TFPI,13320,13363,17086,21592,9599,11903,2834,2476,2077,2079
NDUFAF7,888,923,708,858,812,647,411,403,657,668
RBM5,2946,3465,6165,6067,4675,2819,2752,2751,5497,5176
MTMR7,27,35,23,15,49,16,30,21,43,22
SLC7A2,41,27,56,113,84,98,241,156,295,127
ARF5,4195,4353,3324,3050,3701,3916,4331,4437,4882,4603
SARM1,333,379,588,667,347,216,56,65,364,432
POLDIP2,10390,10615,4727,4934,6928,9007,6244,6159,6519,5930
PLXND1,1083,1239,1632,2046,1507,1504,148,166,394,353
AK2,7507,7834,6055,7217,7459,7929,5606,5732,9106,8600
CD38,405,545,97,88,505,116,121,136,47,60
FKBP4,4281,4250,3287,3710,4430,6107,5746,5744,5193,4972
KDM1A,5831,6335,3526,4329,5126,5974,6571,6938,6598,6134
RBM6,2794,2944,4067,4343,2637,1864,1786,1919,2891,3325
CAMKK1,273,354,635,624,307,275,173,107,162,289
RECQL,2958,3041,1284,1590,2279,3395,3482,3096,1743,1446
VPS50,1496,1505,883,732,1156,1007,1348,1302,1006,1054
HSPB6,45,33,511,404,328,1854,18,5,636,657
ARHGAP33,16,21,33,66,30,34,24,20,47,64
NDUFAB1,3724,3945,1849,1866,2475,3823,2954,2732,2786,2541
PDK4,2868,2793,1093,1399,3235,4111,388,419,6219,5401
SLC22A16,0,0,0,0,0,0,0,1,8,6
ZMYND10,625,834,1317,1911,124,3,564,815,7754,6890
ABCB5,0,0,0,0,2,0,0,0,0,0
ARX,0,1,0,3,1,0,0,0,7,3
SLC25A13,1759,1721,808,826,1851,2769,1835,2231,1536,1434
ST7,3103,2986,1835,2259,1539,1522,1395,1415,1252,1103
CDC27,2060,2102,1057,1162,1592,2363,1918,2067,1684,1286
SLC4A1,0,0,1,0,0,0,0,0,0,0
CALCR,0,0,5,55,0,0,0,0,0,0
