	Series1_NHBE_Mock_1	Series1_NHBE_Mock_2	Series1_NHBE_Mock_3
DDX11L1	0	0	0
WASH7P	29	24	23
FAM138A	0	0	0
FAM138F	0	0	0
OR4F5	0	0	0
LOC729737	112	119	113
LOC100132287	0	0	0
LOC100132062	0	0	0
LOC100133331	19	21	36
OR4F29	0	0	0
OR4F16	0	0	0
OR4F3	0	0	0
LOC100288069	13	17	27
LINC00115	9	12	26
FAM41C	0	0	1
SAMD11	11	20	8
NOC2L	1773	1757	2554
KLHL17	110	133	131
PLEKHN1	170	172	254
HES4	26	52	57
ISG15	45	52	51
AGRN	2887	3576	4140
RNF223	7	4	9
C1orf159	47	76	77
MIR200B	0	0	0
MIR200A	0	1	3
MIR429	3	9	14
TTLL10	0	0	0
TNFRSF18	0	0	1
TNFRSF4	0	0	0
SDF4	1530	1572	1975
B3GALT6	202	167	222
UBE2J2	275	273	418
SCNN1D	7	10	20
ACAP3	305	339	470
PUSL1	75	81	131
TAS1R3	8	1	4
DVL1	544	657	762
MXRA8	18	21	12
AURKAIP1	401	397	630
CCNL2	926	1115	1358
LOC148413	192	140	238
MRPL20	663	541	738
ANKRD65	242	298	375
TMEM88B	0	0	0
VWA1	217	270	319
ATAD3C	11	9	20
ATAD3B	154	223	292
ATAD3A	170	202	284
TMEM240	1	1	0
SSU72	1078	886	1344
MIB2	104	133	156
MMP23B	0	0	0
MMP23A	0	0	0
CDK11B	229	227	256
SLC35E2B	376	375	497
CDK11A	97	82	125
NADK	388	334	555
GNB1	8479	6953	11155
CALML6	4	6	7
TMEM52	0	6	1
GABRD	0	0	0
PRKCZ	638	552	894
SKI	633	633	850
MORN1	23	25	46
LOC100129534	28	16	24
RER1	1495	1370	2065
PEX10	157	144	244
PLCH2	948	1118	1290
PANK4	242	239	329
HES5	2	2	2
TNFRSF14	80	104	105
FAM213B	379	297	519
MMEL1	1	2	0
TTC34	0	0	0
ACTRT2	0	0	0
PRDM16	35	25	39
MIR4251	0	0	0
ARHGEF16	210	232	281
MEGF6	57	76	80
MIR551A	0	0	0
TPRG1L	689	629	1158
WRAP73	125	121	165
TP73	12	17	10
TP73-AS1	159	195	231
CCDC27	0	0	0
SMIM1	4	5	6
LRRC47	494	450	686
CEP104	594	462	806
DFFB	80	58	116
C1orf174	178	169	249
AJAP1	13	24	29
MIR4689	0	0	0
NPHP4	109	85	140
KCNAB2	31	32	55
CHD5	1	3	6
RPL22	4150	3374	6186
RNF207	198	267	276
ICMT	1369	1213	1963
HES3	0	0	0
GPR153	738	697	1019
ACOT7	675	588	963
HES2	4768	3998	6323
ESPN	515	638	836
MIR4252	0	0	0
TNFRSF25	157	233	279
PLEKHG5	922	1100	1485
NOL9	314	255	396
TAS1R1	0	0	0
ZBTB48	127	164	210
KLHL21	482	428	871
PHF13	216	176	307
THAP3	70	80	125
DNAJC11	942	760	1497
CAMTA1	200	196	382
VAMP3	1627	1366	2414
PER3	135	123	216
UTS2	0	0	0
TNFRSF9	7	10	8
PARK7	1780	1560	2592
ERRFI1	1721	1520	2666
SLC45A1	4	3	3
RERE	1095	1046	1396
ENO1	28567	23784	37550
ENO1-AS1	0	0	4
CA6	0	0	0
SLC2A7	0	0	0
SLC2A5	18	19	21
GPR157	56	63	95
MIR34A	1	2	6
H6PD	434	427	620
SPSB1	678	692	1030
SLC25A33	13	16	31
TMEM201	63	64	82
PIK3CD	317	262	479
CLSTN1	8324	7861	11675
CTNNBIP1	409	344	585
LZIC	375	297	556
NMNAT1	393	351	629
RBP7	4	5	21
UBE4B	1043	960	1512
KIF1B	1414	1241	2051
PGD	3237	2446	3899
CORT	1	0	0
DFFA	939	711	1277
PEX14	358	415	563
CASZ1	306	343	426
C1orf127	0	0	0
TARDBP	2368	1940	3578
MASP2	1	0	1
SRM	336	318	458
EXOSC10	1153	933	1506
MTOR	1444	1243	1994
MTOR-AS1	0	0	0
ANGPTL7	0	0	0
UBIAD1	175	188	250
FBXO2	753	716	1150
FBXO44	410	431	580
FBXO6	114	80	142
MAD2L2	100	93	134
DRAXIN	1	0	0
AGTRAP	600	715	907
MTHFR	264	233	383
CLCN6	197	184	315
NPPA-AS1	4	7	3
NPPA	0	1	0
NPPB	0	0	0
KIAA2013	512	515	694
PLOD1	2445	2258	3490
MFN2	2974	2513	4102
MIIP	117	131	156
TNFRSF8	0	0	0
TNFRSF1B	0	0	0
MIR4632	0	0	0
VPS13D	1828	1679	2676
SNORA59B	0	0	0
SNORA59A	0	0	0
DHRS3	2125	2051	3004
AADACL4	0	0	0
AADACL3	0	0	0
C1orf158	0	0	0
PRAMEF12	0	0	0
PRAMEF1	0	0	0
PRAMEF11	0	0	0
HNRNPCL1	0	0	0
PRAMEF2	0	0	0
PRAMEF4	0	0	0
PRAMEF10	0	0	0
PRAMEF8	0	0	0
PRAMEF7	0	0	0
PRAMEF6	0	0	0
PRAMEF22	0	0	0
PRAMEF5	0	0	0
PRAMEF9	0	0	0
PRAMEF15	0	0	0
PRAMEF14	0	0	0
PRAMEF13	0	0	0
PRAMEF19	0	0	0
PRAMEF18	0	0	0
PRAMEF20	0	0	0
PRAMEF17	0	0	0
LRRC38	0	0	0
PDPN	1073	941	1617
PRDM2	1020	926	1319
KAZN	127	175	249
TMEM51-AS1	43	57	67
TMEM51	207	225	383
FHAD1	2	0	1
EFHD2	1058	1051	1496
CTRC	0	0	0
CELA2A	0	0	0
CELA2B	0	0	0
CASP9	111	86	123
DNAJC16	430	490	901
AGMAT	25	12	25
DDI2	92	71	140
RSC1A1	95	78	174
PLEKHM2	1003	993	1340
SLC25A34	4	16	11
TMEM82	0	0	0
FBLIM1	2738	2359	3579
UQCRHL	77	64	127
FLJ37453	8	14	25
SPEN	2419	2036	3321
ZBTB17	189	230	320
HSPB7	1	4	3
CLCNKA	0	0	0
CLCNKB	1	2	0
FAM131C	15	28	33
EPHA2	1887	1841	2616
ARHGEF19	75	90	99
FBXO42	262	197	344
SZRD1	1803	1680	2782
SPATA21	0	0	0
NECAP2	875	726	1159
CROCCP3	25	21	30
MIR3675	0	0	0
NBPF1	313	332	526
CROCCP2	54	83	97
MST1P2	13	12	24
ESPNP	0	0	0
MST1L	4	9	8
CROCC	69	83	130
MFAP2	879	872	1102
ATP13A2	737	745	992
SDHB	955	828	1343
PADI2	38	37	67
PADI1	297	334	455
PADI3	453	459	604
PADI4	1	0	1
PADI6	1	0	0
RCC2	3162	2702	4028
ARHGEF10L	166	189	236
ACTL8	0	0	0
IGSF21	0	0	0
KLHDC7A	17	8	10
PAX7	1	0	0
TAS1R2	0	0	0
