	Series1_NHBE_SARS-CoV-2_1	Series1_NHBE_SARS-CoV-2_2	Series1_NHBE_SARS-CoV-2_3
DDX11L1	0	0	0
WASH7P	34	19	44
FAM138A	0	0	0
FAM138F	0	0	0
OR4F5	0	0	0
LOC729737	127	84	270
LOC100132287	0	0	0
LOC100132062	0	0	0
LOC100133331	16	23	54
OR4F29	0	0	0
OR4F16	0	0	0
OR4F3	0	0	0
LOC100288069	19	9	50
LINC00115	12	7	28
FAM41C	0	1	0
SAMD11	26	10	63
NOC2L	1915	1605	5162
KLHL17	168	78	242
PLEKHN1	186	120	403
HES4	30	17	64
ISG15	82	45	211
AGRN	3682	2053	6988
RNF223	6	4	4
C1orf159	83	34	120
MIR200B	0	0	0
MIR200A	3	1	3
MIR429	3	2	11
TTLL10	0	0	1
TNFRSF18	1	0	3
TNFRSF4	1	0	1
SDF4	1840	1232	3914
B3GALT6	130	146	397
UBE2J2	277	230	637
SCNN1D	12	8	9
ACAP3	357	251	744
PUSL1	108	55	172
TAS1R3	0	0	1
DVL1	738	395	1358
MXRA8	27	17	28
AURKAIP1	517	358	1139
CCNL2	1049	866	2555
LOC148413	157	124	418
MRPL20	513	491	1799
ANKRD65	256	174	594
TMEM88B	0	0	1
VWA1	359	163	522
ATAD3C	12	11	46
ATAD3B	287	172	508
ATAD3A	274	181	569
TMEM240	0	1	0
SSU72	827	851	2692
MIB2	147	59	237
MMP23B	0	0	0
MMP23A	0	0	0
CDK11B	243	210	695
SLC35E2B	357	304	889
CDK11A	113	98	295
NADK	396	319	976
GNB1	7486	7295	20663
CALML6	10	4	12
TMEM52	4	2	10
GABRD	0	0	0
PRKCZ	579	478	1510
SKI	763	529	1669
MORN1	39	26	75
LOC100129534	20	12	46
RER1	1319	1336	3642
PEX10	114	94	354
PLCH2	1204	852	2578
PANK4	301	232	664
HES5	0	3	2
TNFRSF14	75	57	154
FAM213B	353	268	953
MMEL1	1	4	3
TTC34	0	0	0
ACTRT2	0	0	0
PRDM16	27	19	56
MIR4251	0	0	0
ARHGEF16	288	186	538
MEGF6	52	43	122
MIR551A	0	0	0
TPRG1L	622	665	2019
WRAP73	142	102	275
TP73	8	3	16
TP73-AS1	173	153	433
CCDC27	0	0	0
SMIM1	7	10	11
LRRC47	523	432	1346
CEP104	488	510	1397
DFFB	86	83	223
C1orf174	153	178	465
AJAP1	14	6	22
MIR4689	0	0	0
NPHP4	124	98	314
KCNAB2	34	27	86
CHD5	0	5	6
RPL22	3925	4344	11992
RNF207	261	248	746
ICMT	1107	1153	3580
HES3	0	0	0
GPR153	870	678	2044
ACOT7	794	494	2017
HES2	3999	3981	11630
ESPN	485	339	1016
MIR4252	0	0	0
TNFRSF25	211	148	531
PLEKHG5	1197	798	2632
NOL9	227	264	646
TAS1R1	1	0	1
ZBTB48	159	121	396
KLHL21	531	462	1241
PHF13	158	203	482
THAP3	110	76	226
DNAJC11	979	882	2847
CAMTA1	190	192	620
VAMP3	1279	1405	3847
PER3	95	84	224
UTS2	0	0	0
TNFRSF9	6	5	14
PARK7	1525	1676	4824
ERRFI1	1732	2079	5900
SLC45A1	5	0	10
RERE	998	898	2542
ENO1	29550	25434	77130
ENO1-AS1	0	1	0
CA6	1	1	2
SLC2A7	0	0	0
SLC2A5	9	12	24
GPR157	108	43	153
MIR34A	4	2	3
H6PD	370	342	997
SPSB1	591	559	1633
SLC25A33	23	17	53
TMEM201	73	55	148
PIK3CD	347	314	944
CLSTN1	7746	6743	19880
CTNNBIP1	307	276	960
LZIC	251	319	935
NMNAT1	378	398	1212
RBP7	11	13	29
UBE4B	798	872	2300
KIF1B	1152	1249	3612
PGD	2659	2946	8597
CORT	0	0	0
DFFA	840	745	2146
PEX14	446	299	923
CASZ1	299	211	705
C1orf127	2	3	1
TARDBP	1735	2070	5865
MASP2	0	0	3
SRM	394	325	1167
EXOSC10	920	993	2997
MTOR	1318	1262	4177
MTOR-AS1	0	0	0
ANGPTL7	0	0	0
UBIAD1	166	175	505
FBXO2	938	581	1825
FBXO44	421	357	1052
FBXO6	108	84	313
MAD2L2	112	81	219
DRAXIN	0	0	1
AGTRAP	689	460	1569
MTHFR	232	221	645
CLCN6	212	206	553
NPPA-AS1	6	7	12
NPPA	0	0	6
NPPB	0	0	0
KIAA2013	534	392	1210
PLOD1	2614	2022	6241
MFN2	2861	2477	7177
MIIP	120	110	323
TNFRSF8	0	0	0
TNFRSF1B	0	2	0
MIR4632	0	0	0
VPS13D	1575	1595	4519
SNORA59B	0	0	0
SNORA59A	0	0	0
DHRS3	1911	1797	4586
AADACL4	0	0	0
AADACL3	0	0	0
C1orf158	0	0	0
PRAMEF12	0	0	0
PRAMEF1	0	0	0
PRAMEF11	0	0	0
HNRNPCL1	0	0	0
PRAMEF2	0	0	0
PRAMEF4	0	0	0
PRAMEF10	0	0	0
PRAMEF8	0	0	0
PRAMEF7	0	0	0
PRAMEF6	0	0	0
PRAMEF22	0	0	0
PRAMEF5	0	0	0
PRAMEF9	0	0	0
PRAMEF15	0	0	0
PRAMEF14	0	0	0
PRAMEF13	0	0	0
PRAMEF19	0	0	0
PRAMEF18	0	0	0
PRAMEF20	0	0	0
PRAMEF17	0	0	0
LRRC38	0	0	0
PDPN	1107	1163	3350
PRDM2	791	848	2549
KAZN	158	143	408
TMEM51-AS1	59	40	138
TMEM51	275	246	812
FHAD1	2	0	6
EFHD2	1546	1021	3404
CTRC	0	1	0
CELA2A	0	0	0
CELA2B	0	0	0
CASP9	85	73	244
DNAJC16	387	396	1205
AGMAT	9	6	46
DDI2	75	57	274
RSC1A1	85	86	262
PLEKHM2	1068	797	2434
SLC25A34	13	8	31
TMEM82	0	0	0
FBLIM1	2589	2431	7088
UQCRHL	81	66	200
FLJ37453	16	15	36
SPEN	2197	2038	6206
ZBTB17	324	179	648
HSPB7	1	1	6
CLCNKA	0	0	3
CLCNKB	0	0	0
FAM131C	18	12	55
EPHA2	2745	1948	6368
ARHGEF19	89	36	173
FBXO42	189	223	605
SZRD1	1937	1552	4873
SPATA21	0	0	0
NECAP2	933	865	2470
CROCCP3	18	14	50
MIR3675	0	0	0
NBPF1	273	318	840
CROCCP2	76	52	145
MST1P2	16	12	42
ESPNP	0	0	2
MST1L	11	5	11
CROCC	86	74	186
MFAP2	907	794	2352
ATP13A2	973	644	2175
SDHB	950	879	2853
PADI2	55	46	143
PADI1	305	318	1045
PADI3	242	217	836
PADI4	1	0	3
PADI6	0	0	0
RCC2	2585	2614	8035
ARHGEF10L	188	121	458
ACTL8	0	0	0
IGSF21	0	0	0
KLHDC7A	5	13	16
PAX7	0	0	0
TAS1R2	0	0	0
ALDH4A1	581	371	1260
MIR4695	0	0	0
IFFO2	669	636	1772
UBR4	3276	3209	9579
EMC1	1005	965	3020
MRTO4	530	560	1714
AKR7L	2	1	0
AKR7A3	1	0	6
LOC100506730	36	54	156
AKR7A2	307	312	976
PQLC2	147	106	334
CAPZB	2668	2805	8494
MINOS1	257	261	708
NBL1	3	3	2
HTR6	0	0	0
TMCO4	100	111	350
RNF186	0	0	0
OTUD3	119	134	408
PLA2G2E	0	0	0
PLA2G2A	0	0	0
PLA2G5	0	0	0
PLA2G2D	0	0	0
PLA2G2F	0	0	3
PLA2G2C	0	0	0
UBXN10	1	4	20
VWA5B1	0	0	0
CAMK2N1	1321	1368	4210
MUL1	563	584	1628
FAM43B	0	0	0
CDA	737	747	2752
PINK1	1370	1198	3572
DDOST	3395	3220	8910
KIF17	4	0	14
SH2D5	152	106	433
HP1BP3	1505	1772	5310
EIF4G3	2448	2677	7936
ECE1	2669	2281	6759
LOC100506801	1	2	5
NBPF3	165	128	474
ALPL	5	3	8
RAP1GAP	33	21	123
USP48	1040	1196	3233
LDLRAD2	28	22	52
HSPG2	5372	2937	9604
CELA3B	0	0	0
CELA3A	0	0	0
LINC00339	16	24	67
CDC42	3299	3785	10877
WNT4	182	126	232
ZBTB40	572	573	1683
EPHA8	2	0	3
C1QA	0	0	0
C1QC	0	0	0
C1QB	0	0	0
EPHB2	1232	1074	3150
MIR4684	0	0	0
MIR4253	0	0	10
KDM1A	1095	1207	3565
MIR3115	0	0	0
LUZP1	2664	2723	7922
HTR1D	1	0	7
HNRNPR	3456	3725	10005
ZNF436	394	454	1254
TCEA3	25	24	73
ASAP3	112	93	250
E2F2	2	6	13
ID3	686	514	1588
MDS2	0	0	0
RPL11	16694	17730	54125
PITHD1	295	291	802
LYPLA2	1129	781	2569
GALE	567	485	1440
HMGCL	415	444	1216
FUCA1	325	360	878
CNR2	0	0	0
MIR378F	0	0	0
PNRC2	134	142	448
SRSF10	634	722	2007
MYOM3	26	16	96
IL22RA1	44	54	106
IFNLR1	137	141	450
LOC284632	0	1	0
GRHL3	681	637	1935
STPG1	281	300	869
NIPAL3	1661	1761	4790
RCAN3AS	4	0	2
RCAN3	174	155	498
NCMAP	5	7	8
SRRM1	2159	2259	6635
CLIC4	1091	1222	3392
RUNX3	42	33	100
SYF2	1037	1127	3000
RHD	0	0	0
TMEM50A	1643	1011	2711
RHCE	1	2	7
LDLRAP1	595	440	1397
MAN1C1	7	13	30
MTFR1L	374	386	980
LOC646471	4	8	16
AUNIP	63	56	186
PAQR7	2165	1908	5417
STMN1	626	738	2255
MIR3917	0	0	0
PAFAH2	537	542	1700
EXTL1	0	0	3
SLC30A2	1	0	4
TRIM63	0	0	0
PDIK1L	16	12	48
FAM110D	0	0	0
ZNF593	103	82	233
CNKSR1	419	284	874
CATSPER4	0	0	0
CEP85	200	221	587
SH3BGRL3	9981	9049	30442
UBXN11	49	31	114
CD52	0	0	0
ZNF683	0	0	0
LIN28A	0	0	0
DHDDS	587	601	1814
HMGN2	317	277	829
RPS6KA1	1100	1001	2793
MIR1976	0	0	0
ARID1A	2042	1915	5657
PIGV	113	139	304
ZDHHC18	262	250	778
SFN	15011	10503	34044
GPN2	187	144	580
GPATCH3	161	136	394
NR0B2	0	0	0
NUDC	1671	1496	4614
TRNP1	589	635	2187
SLC9A1	1269	1055	3267
WDTC1	715	605	1671
TMEM222	206	164	535
SYTL1	298	186	502
MAP3K6	468	313	1051
FCN3	0	0	0
CD164L2	27	18	61
GPR3	10	12	44
WASF2	3582	3700	10142
AHDC1	622	459	1389
FGR	2	1	6
IFI6	207	233	912
FAM76A	92	106	294
STX12	371	379	1223
PPP1R8	415	382	1323
SCARNA1	0	0	0
THEMIS2	94	84	242
RPA2	355	336	978
SMPDL3B	39	31	123
XKR8	100	68	261
EYA3	436	469	1317
PTAFR	1582	1506	4535
DNAJC8	1539	1692	4931
SESN2	380	258	962
MED18	438	497	1398
PHACTR4	935	957	2810
SNHG3	247	249	851
RCC1	804	830	2247
TRNAU1AP	169	172	553
SNHG12	188	189	521
SNORD99	7	10	31
SNORA61	72	73	152
SNORA44	16	19	34
SNORA16A	7	4	48
RAB42	1	3	5
TAF12	459	492	1406
RNU11	0	0	3
GMEB1	158	135	651
YTHDF2	851	1039	2880
OPRD1	0	0	0
EPB41	834	812	2337
TMEM200B	9	5	13
SRSF4	1780	1871	5258
MECR	134	164	455
PTPRU	1053	792	2263
MATN1	1	0	0
MATN1-AS1	8	9	20
LAPTM5	5	7	12
MIR4420	0	0	0
SDC3	861	821	2394
PUM1	1652	1738	5064
SNORD103B	0	0	0
SNORD103A	0	0	0
NKAIN1	2	1	9
SNRNP40	255	285	823
ZCCHC17	826	933	3092
FABP3	1	1	12
SERINC2	6632	3939	12456
TINAGL1	8925	7327	20970
HCRTR1	0	0	0
PEF1	596	567	1921
COL16A1	1647	1132	3187
MIR4254	0	0	0
SPOCD1	56	31	113
PTP4A2	1135	1491	4151
KHDRBS1	1695	1711	5057
TMEM39B	107	68	225
KPNA6	1588	1659	4924
TXLNA	1000	925	3072
CCDC28B	29	22	79
IQCC	30	30	115
DCDC2B	1	0	2
TMEM234	81	81	281
EIF3I	2755	2626	8608
