GeneName;Column1;logCPM;F;Pvalue;FDR
SAA2;logFC;5,43E+14;5,12E+14;140,6545052;187773,7645
CCL20;3,13E+13;4,95E+14;4,48E+14;356,054631;2376664,662
IL36G;2,72E+13;4,36E+14;3,40E+14;235,9691913;10500629,01
INHBA;1,81E+14;6,51E+14;2,73E+14;10718,72399;35773741,32
TNFAIP3;1,60E+14;7,42E+14;2,63E+14;13589,66349;36284401,51
S100A8;1,86E+14;7,00E+14;2,56E+13;1670,489673;37168395,22
SAA1;2,21E+14;7,95E+14;2,43E+13;23470,06511;4042562,91
SPRR2D;2,97E+14;4,80E+14;2,42E+14;24225,09609;4042562,91
CFB;1,85E+14;5,88E+14;2,32E+14;32176,389;47728310,35
KRT6B;1,54E+14;7,71E+14;2,28E+14;36476,82447;48696560,67
CXCL1;1,41E+14;7,07E+14;2,18E+14;48504,83552;5886723,221
TNIP1;1,25E+14;8,45E+14;2,13E+14;57204,48262;61760832,7
C3;1,50E+14;8,89E+14;2,11E+14;6014,163484;61760832,7
ICAM1;1,85E+14;7,14E+14;2,05E+14;74421,96966;70966663,93
SOD2;1,51E+14;7,22E+14;1,88E+14;132541,6474;117962066,2
C15orf48;1,23E+13;6,07E+14;1,82E+13;165637,2033;138203541,5
IRF9;1,24E+14;5,67E+14;1,71E+14;241908,2208;174890786,2
CXCL5;3,46E+14;3,03E+14;1,71E+14;248785,0379;174890786,2
ZC3H12A;1,67E+13;6,03E+14;1,71E+14;251022,4488;174890786,2
LIF;1,30E+12;6,19E+14;1,69E+13;262008,6684;174890786,2
HBEGF;1,28E+14;6,21E+14;1,68E+14;280869,2219;178552576,8
S100A9;1,10E+13;9,85E+14;1,66E+14;303134,1216;183947296,5
IFI27;2,93E+14;4,61E+14;1,59E+14;401789,2864;227382622,4
RHCG;1,34E+14;6,36E+14;1,58E+14;40877,77482;227382622,4
SLC6A14;1,21E+14;6,96E+13;1,54E+14;495543,3217;264620133,8
MX1;2,52E+14;5,01E+14;1,52E+14;546218,2032;280462039
PGLYRP4;2,03E+14;3,00E+14;1,47E+14;666806,3432;329698691,9
IL6;2,92E+13;3,12E+14;1,46E+14;704100,6509;335705131,8
CSF3;4,80E+14;2,36E+14;1,38E+13;1027570,494;473036761,9
SPRR2E;3,57E+14;1,91E+14;1,35E+14;1177806,652;524123960,3
BIRC3;1,65E+14;4,35E+14;1,32E+14;1348329,657;536874998,9
SPRR2A;1,68E+14;5,26E+14;1,32E+14;1361366,069;536874998,9
IL1B;1,05E+14;8,36E+14;1,32E+14;1361624,916;536874998,9
PDZK1IP1;2,42E+14;3,34E+14;1,32E+14;1367322,095;536874998,9
IL32;1,21E+14;6,01E+14;1,28E+14;1604369,959;611952541,5
TNFAIP2;1,54E+14;5,78E+14;1,27E+13;1738490,41;6446901,936
IRAK2;1,59E+14;3,86E+14;1,25E+14;1897000,84;684458411,4
PLAT;1,39E+14;5,07E+14;1,24E+14;2011353,087;706620097,7
OAS1;1,69E+14;3,91E+14;1,19E+14;2641895,362;904341104,8
OAS2;1,26E+14;5,64E+14;1,15E+14;322449,7136;1076175919
