	logFC	logCPM	F	PValue	FDR
SAA2	2.41426530538739	5.43249966026502	512.091070614689	1.40654505225903e-12	1.8777376447658e-08
CCL20	3.1336841579912	4.94906142375747	447.918174015401	3.56054630985175e-12	2.37666466182604e-08
IL36G	2.7223097405621	4.35904823625895	340.454929200154	2.3596919133248e-11	1.05006290142954e-07
INHBA	1.81055591131604	6.51143540784244	272.793242041437	1.07187239918407e-10	3.57737413227684e-07
TNFAIP3	1.60191434262905	7.41858456051144	263.426640550687	1.35896634850911e-10	3.62844015051932e-07
S100A8	1.86056419235924	6.99784230365486	255.53028127601	1.6704896726199e-10	3.71683952157928e-07
SAA1	2.21227958298629	7.95185524859581	243.00966801397	2.34700651118138e-10	4.0425629096882e-07
SPRR2D	2.97420849503138	4.79537195046402	241.873844155908	2.42250960880192e-10	4.0425629096882e-07
CFB	1.84509812105368	5.88207176352587	231.914013386885	3.21763889989961e-10	4.77283103485109e-07
KRT6B	1.54026746613707	7.71296569324198	227.637070921042	3.64768244697012e-10	4.86965606670511e-07
CXCL1	1.40811561843027	7.07479320987117	218.195838294284	4.85048355247373e-10	5.8867232205022e-07
TNIP1	1.25494744907814	8.44517231707249	212.900649480709	5.72044826228858e-10	6.17608327035703e-07
C3	1.49898485204132	8.88768041686741	211.317582808607	6.0141634842428e-10	6.17608327035703e-07
ICAM1	1.85286940310936	7.13819586568974	204.704554074676	7.44219696623811e-10	7.09666639280562e-07
SOD2	1.50952146786038	7.22480019198585	187.751854520935	1.32541647426445e-09	1.17962066209536e-06
C15orf48	1.2264815398868	6.07183587116897	181.56318699468	1.65637203322976e-09	1.38203541522608e-06
IRF9	1.24110620731561	5.66744093149624	171.481141760613	2.41908220779658e-09	1.74890786171062e-06
CXCL5	3.46498321155524	3.03311228745573	170.756073490655	2.48785037923727e-09	1.74890786171062e-06
ZC3H12A	1.6652007372757	6.02581839847206	170.525084097237	2.51022448836391e-09	1.74890786171062e-06
LIF	1.298286661869	6.18557042372546	169.42395043472	2.62008668421067e-09	1.74890786171062e-06
HBEGF	1.28273188803263	6.21280720191356	167.651089520851	2.80869221921435e-09	1.78552576792912e-06
S100A9	1.0986941369803	9.84666492670453	165.725240658797	3.03134121575305e-09	1.83947296501378e-06
IFI27	2.92563706768055	4.61015064844493	158.788388233717	4.01789286350591e-09	2.27382622443621e-06
RHCG	1.33988407414836	6.35765522442751	158.372677774894	4.0877774821325e-09	2.27382622443621e-06
SLC6A14	1.21007586657468	6.9588875682212	153.799965997376	4.95543321720817e-09	2.64620133798916e-06
MX1	2.51511049063884	5.01447168942141	151.533558887323	5.46218203201207e-09	2.80462038951389e-06
PGLYRP4	2.02594932220239	3.00354020917973	146.985676768436	6.66806343180317e-09	3.29698691905824e-06
IL6	2.9224529419241	3.11820458196696	145.766883175445	7.04100650864929e-09	3.35705131751672e-06
CSF3	4.79871351926883	2.35592162957065	137.55278757177	1.02757049393164e-08	4.73036761861634e-06
SPRR2E	3.56549719910367	1.91353407785714	134.693180442962	1.17780665227577e-08	5.24123960262716e-06
BIRC3	1.65078287943057	4.34787626557441	131.913142477905	1.34832965663241e-08	5.36874998890826e-06
SPRR2A	1.68222361666732	5.25686427284802	131.717309985716	1.36136606929996e-08	5.36874998890826e-06
